,no_vehicle_avail_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Two_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,moved_lastyear_%,age_lt18_%,house_2000to2014_%,house_income_gt30_USD_%,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,exemplary_%,proficient_%,need_improve_%,unsatis_%,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,dentists_per1000,young_females_%,median_age,lt5years_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_society_%,emp_pop_ratio_hisp,less_than_highschool_%,vacant_rentals_%
Abington,-0.004387464387464356,-1916.500275094373,0.08547959451527072,-0.22633519531630714,-24467.52136752137,-43708.29612873341,-0.9264957264957284,0.004684751653564301,0.002633609034303378,-0.0018446195364228675,-0.006022778279655932,-0.00033492199892959466,-0.0027993102282705164,-0.0048817221799349894,-0.03577611661806093,0.01769956837120782,0.0010937166279671798,0.005394633771929964,0.012979375852308815,0.004048930355189849,0.0014538886799639779,-0.012190780372671392,0.04332219586047596,-0.004109325906533568,-0.00010309831942643954,0.00247142859197648,-0.011024440402733315,0.0004389246198128333,-0.0076490787459421155,0.00737470161117875,-1.0454245697591198e-05,0.0015209458007231606,-0.020038095209149856,-0.004056980056980297,0.03303133903133902,0.003238132781063469,385.4429845644991,0.031191400331460895,0.006028490028490707,0.032943019943019965,0.06425925925925928,-0.02308547008547003,-0.0029002849002848943,-0.0008205128205128026,-0.04250427350427352,0.04462735042735072,-0.05241957953686671,0.07577880420442151,0.030468229889869962,-0.005156190806042978,0.000701456305755346,-0.055328099234638765,-1310530223.2877493,-0.006298329106108396,0.1751566951566952,0.0012269641982656648,0.003699299681697021,-0.022530909760930837,0.0036353524729759376,-0.2667521367521366,0.034761253561253584,-0.048264957264957616,0.00020612535612535616,-0.0008672649572649568,-0.002272364672364673,-0.005728774928774928,0.016887544278119684,-3.441552706552711,-0.4602240385306448,-0.049649572649572704,-0.011404558404558313,0.06241880341880353,0.005065527065527084,-0.006478632478632396,0.02994301994301979,0.008521367521367479,-0.01839886039886042,-0.004646723646723736,-0.01549287749287753,0.014598290598290597,-0.015529914529914398,-0.005395556186045702,-0.02519132725284745,-0.021106873395009523,-0.045685627175725316,-2.2148620426600552e-05,-0.1711645968403994,-0.32399398636047483,-13.438342619478234,-0.00653320180002688,-0.12450007283673692
Acton,-0.016387464387464357,2440.8945027486293,-0.08452040548472928,-0.22633519531630714,114432.47863247865,73291.7038712666,1.1735042735042711,-0.17391791968809367,-0.0004703863960616173,-0.0018446195364228675,0.14818280541945136,0.0016404290553066747,-0.004839245931053752,0.13275672849046108,0.026793581516213028,-0.0218656611997577,-0.009652339070764326,-0.00954412206983782,-0.018029895303864597,-0.011655627470304741,-0.01053687726445848,-0.007716850788544186,-0.03562641096242461,-0.004109325906533568,-0.03724554611545055,-0.018714585523092037,-0.025064115719150317,-0.01781942847522423,-0.008822629051090661,0.0029258649729642827,-0.002576201519591112,0.0015209458007231606,-0.038029765600519634,0.04794301994301969,0.013031339031339031,0.03938104194362897,-6582.5570154355,0.05019140033146091,0.0040284900284905945,-0.030056980056980036,0.01925925925925928,-0.01608547008547003,-0.0029002849002848943,-0.0048205128205128026,0.0014957264957264904,0.01932735042735073,-0.048419579536866715,0.08077880420442153,0.033468229889869965,0.001843809193957021,0.010701456305755344,0.14567190076536118,1019945383.7122508,0.0027016708938916068,-0.08484330484330482,0.012797468967275988,0.018520390699290682,0.04604898001148472,0.006718580213245708,0.2982478632478634,-0.02023874643874643,-0.01626495726495764,9.612535612535622e-05,0.0065727350427350435,0.00032763532763532745,0.008371225071225072,0.04576870581811969,2.0894472934472894,-0.3419422170327695,0.026350427350427363,0.005595441595441703,0.055418803418803515,-0.011934472934472916,-0.0754786324786324,0.013943019943019773,0.016521367521367458,-0.013398860398860415,0.009353276353276265,-0.032492877492877534,0.0235982905982906,-0.016529914529914397,-0.018395556186045603,-0.06119132725284704,0.05989312660499047,-0.023685627175725296,6.881689957339945e-05,-0.14702722131291135,1.783559777866951,17.16165738052176,-0.03761153526762561,-0.1546146244744674
Acushnet,-0.016387464387464357,-3792.7702750943736,-0.05452040548472928,-0.22633519531630714,-66267.52136752137,-90608.2961287334,-0.6264957264957287,0.04520229736407788,-0.020762402132270857,-0.0018446195364228675,-0.020860668155796503,-0.00033492199892959466,-0.0005793938040363645,-0.011822074410965062,-0.011801427011989496,0.0030023950981083875,0.002218435595516509,0.006473039785007482,-0.00646380034229857,-0.011661943398943777,0.006749234329669767,-0.002028413799177134,-0.006676550591235328,0.013186850836492571,0.03518414078835213,0.01742535454976879,0.04088040859697849,-0.0031443459708843657,0.0151171307618792,0.02899818408347633,0.003870612266672216,-0.00071064358682953,0.0428611845132864,-0.025056980056980288,-0.05096866096866096,0.015161652772564009,-14637.557015435501,0.04819140033146091,0.08902849002849056,-0.013056980056980036,-0.04174074074074072,-0.008085470085470031,-0.003900284900284894,-0.0058205128205128034,-0.029504273504273513,0.05682735042735071,-0.1054195795368667,0.055778804204421495,-0.04853177011013003,0.001843809193957021,0.003551275473982025,0.0581662648258997,-2135603358.2877493,0.0063016708938916045,-0.9248433048433048,0.0073683735983954,-0.01491006288893415,0.014126991632838454,-0.03404373610156173,-0.4537521367521366,0.03416125356125359,-0.00826495726495752,-0.0001238746438746437,-0.005207264957264957,-0.002272364672364673,-0.006928774928774927,-0.051516161961880316,7.533447293447289,-0.023942217032769497,-0.03664957264957275,0.0375954415954417,0.0434188034188035,-0.017934472934472926,-0.026478632478632413,-0.07405698005698019,0.10852136752136746,-0.062398860398860424,0.04435327635327626,0.008507122507122475,0.03559829059829061,-0.06252991452991441,-0.02139555618604572,-0.0001913272528479837,-0.03810687339500954,-0.010685627175725312,-2.756369042660055e-05,-0.13715412578975816,1.318093285678977,36.56165738052177,0.07223034744133161,0.0278178079579651
Adams,0.006612535612535643,-1242.3992297702553,-0.07452040548472927,0.7479675692677872,-109467.52136752136,-96208.2961287334,-1.3264957264957289,0.06388541354174071,-0.013159495863534515,-0.0013574681541308202,-0.02311799415303026,-0.00033492199892959466,-0.009939529699819556,-0.036339248395622484,-0.024584466116740842,-0.031152139399141937,0.010460129592697476,-0.002271390594669985,-0.0017165579435765993,0.011882101619525978,0.022150340218003644,0.025355753576919896,0.04684077428034579,0.005489716109073278,0.022628772153699468,0.006484016159229857,0.01378607153166822,-0.000144875137091105,0.00024197066051316436,-0.0023912079966187235,-0.002576201519591112,0.0015209458007231606,-0.01952613505238758,-0.012056980056980304,-0.08496866096866096,0.033322336684431214,-134.55701543550094,-0.007808599668539085,0.07502849002849066,0.010943019943019966,-0.03774074074074072,-0.008085470085470031,-0.0029002849002848943,-0.0048205128205128026,-0.02250427350427351,0.024427350427350725,-0.04641957953686671,0.0637788042044215,0.018468229889869958,0.001843809193957021,-0.017298543694244654,-0.09132809923463893,-2781401316.287749,0.0015016708938916069,-0.4348433048433047,-0.006791587422732921,0.0072743576362046545,-0.0216168613210766,-0.027016857188776368,-0.4537521367521366,-0.0022387464387464283,-0.004264957264957625,6.125356125356201e-06,0.0008027350427350428,-0.002272364672364673,-0.005728774928774928,-0.003794854401880314,9.416447293447293,-0.2889422170327695,0.04635042735042727,-0.0314045584045583,0.004418803418803491,-0.012934472934472918,-0.006478632478632396,-0.1180569800569802,0.04152136752136745,0.02860113960113958,0.02735327635327626,0.020507122507122468,0.030598290598290605,-0.029529914529914412,0.07160444381395425,0.08080867274715242,-0.12010687339500953,0.0033143728242747,-3.385359042660055e-05,-0.11112420418495474,0.6227025305485026,19.661657380521763,0.048258426399336855,0.012273766507187896
Agawam,-0.008387464387464358,312.31972490562475,-0.04452040548472927,-0.22633519531630714,-74667.52136752137,-88608.2961287334,0.9735042735042708,0.041337789401615484,-0.009808099436972851,-0.0012411835006426604,-0.005737659876087542,-0.00033492199892959466,-0.00642231989100607,-0.018650078888388648,0.007762628583690867,-0.014304016076945772,0.008099677995670506,-0.002677639544208039,0.004301000070516418,0.0004754029831464737,0.004467388556193778,0.006756899829357066,0.01121234301222408,-0.0019089066224295586,-0.011173774719180352,0.0070188530939186864,0.010720997977600752,0.018934032865366317,0.0016880675490791152,-0.004975659367626539,0.0050833729484939935,-0.0018833095184257762,0.00993176049617936,-0.004056980056980297,-0.05696866096866096,0.008966190865214524,836.442984564499,-0.009808599668539086,0.08402849002849068,-0.009056980056980038,-0.03574074074074072,-0.02208547008547003,9.971509971510617e-05,0.004179487179487197,-0.030504273504273514,0.014927350427350716,-0.062419579536866714,0.09577880420442153,0.034468229889869965,0.001843809193957021,0.0017014563057553467,0.023671900765361187,-348729695.2877493,0.0007016708938916063,1.775156695156695,0.027985286308909854,-0.007393681084756131,-0.0009372137667324754,-0.003583709291667597,-0.10475213675213664,-0.008338746438746436,0.005735042735042385,6.125356125356201e-06,-0.00032726495726495726,-0.002272364672364673,-0.005528774928774927,-0.01308955678188032,0.9234472934472908,-0.3489422170327695,0.027350427350427253,-0.01640455840455829,0.005418803418803493,-0.005934472934472926,-0.009478632478632398,-0.010056980056980191,0.024521367521367462,-0.012398860398860416,-0.021646723646723737,0.020507122507122468,0.0195982905982906,-0.0205299145299144,-0.038395556186045184,-0.009191327252847437,-0.015106873395009518,0.004314372824274701,7.711957339944657e-08,-0.1974158123591308,0.9482770806619012,-21.338342619478237,0.01334757894838403,0.0278178079579651
Alford,0.001612535612535642,-2274.843397599076,-0.18452040548472928,-0.22633519531630714,90432.47863247864,27315.49060502395,2.573504273504271,0.11249565421052488,-0.00878846785855277,-0.0018446195364228675,-0.014727967244139129,-0.00033492199892959466,-0.01274065014799883,0.0006882733685525043,0.05453296473330893,-0.018532587423197768,-0.010453620933553731,-0.005144860400213981,-0.03202937044344284,0.053919529098726285,-0.017919417398016876,-0.012725066564936605,-0.03147811124330878,-0.004109325906533568,0.007377349075123495,-0.010388056585740784,-0.036008958924292275,0.0005075465955587978,-0.012556752026962626,-0.007699063622945687,-0.002576201519591112,0.0015209458007231606,0.02086831533328876,-0.0770569800569803,0.07303133903133903,-0.00595579495038831,552.4429845644989,0.02119140033146089,-0.1299715099715094,0.04494301994301997,0.008259259259259286,0.01291452991452997,0.010099715099715106,0.005179487179487198,0.09449572649572648,-0.0569726495726493,-1.5944610404500532,0.44166383736077264,-0.33376125977884513,-0.7611118164459278,-0.010760576754409924,-0.0603660123720402,-3010973277.287749,0.0042574080667809435,-1.5048433048433048,-0.02557170130797165,-0.012049906502964114,-0.08813301051692031,-0.03015356643197667,-0.4537521367521366,-0.02943874643874643,0.13373504273504233,-0.0003638746438746437,-0.005207264957264957,0.05972763532763532,0.013771225071225073,-0.051516161961880316,12.693447293447289,0.6030577829672306,-0.053649572649572715,0.12259544159544168,-0.0505811965811965,0.004065527065527083,-0.02247863247863241,0.24294301994301976,-0.09247863247863253,-0.06839886039886042,-0.02464672364672373,-0.030492877492877532,0.0195982905982906,-0.0475299145299144,-0.200990299447998,-0.29394800155475753,0.02012490801557396,0.00972045483354729,0.00026177321950897727,0.3803250281029525,0.6977160034161172,36.56165738052177,-0.020892756306648826,0.0278178079579651
Amesbury,-0.0013874643874643572,119.48972490562664,0.07547959451527073,-0.22633519531630714,-26267.52136752137,-40808.29612873341,0.3735042735042713,0.03580305863957345,-0.014009473535762828,-0.00013793403736448709,-0.0164178994750215,-0.00033492199892959466,-0.00020533941353555182,0.02083252858880423,0.021800328701562368,-0.010280610990431252,0.00036099722689986527,-0.0024276495415052977,0.02141355374061476,-0.0174218936066493,-0.01701434100589865,-0.006963491481584275,0.001969181804456724,0.002276290785261364,0.0013469892276311152,0.0006994896662666575,-0.00019773017976665308,-0.011230163060904795,-0.005998551100254318,0.004400580505168192,-0.002576201519591112,0.0015209458007231606,0.003485725673234047,0.010943019943019687,-0.010968660968660962,-0.030463505507920933,-107.55701543550094,0.00719140033146093,0.015028490028490602,0.060943019943019976,-0.02874074074074072,-0.01308547008547003,-0.0009002849002848937,0.0091794871794872,0.01849572649572649,0.049027350427350735,0.038580420463133286,-0.03622119579557848,0.002468229889869958,0.001843809193957021,-0.00929854369424465,0.05567190076536122,-1138290255.2877493,0.002901670893891605,1.0951566951566951,-0.005390978416405372,-0.012394422428019358,-0.00145587429606428,-0.014645877809236598,-0.0917521367521366,-0.018738746438746432,-0.02226495726495764,7.612535612535628e-05,-0.0016572649572649568,0.00012763532763532736,-0.002828774928774927,-0.009230309601880295,-0.15755270655271048,-0.3909422170327695,-0.06164957264957278,0.002595441595441672,0.0154188034188035,0.027065527065527083,0.016521367521367597,-0.1220569800569802,0.034521367521367474,0.06860113960113959,0.05635327635327628,0.008507122507122475,-0.0264017094017094,-0.0205299145299144,-0.04339555618604507,-0.06119132725284704,0.029893126604990463,0.0023143728242746987,-1.581623042660054e-05,-0.17406082565250516,-0.09333861447742776,-4.738342619478232,-0.0011427934224997676,-0.031848063163753264
Amherst,0.025612535612535643,5273.549724905628,-0.07452040548472927,0.125830624475412,-27467.52136752137,68791.7038712666,-4.726495726495728,-0.04653983497252512,0.0313930156616904,0.002532298509559926,0.09274234255773607,0.0004448737448949259,0.011860647834594113,-0.0062669410220274405,0.09470725249736783,-0.031966129534869735,0.006370625689546997,0.0045736780140049225,0.06337243069394828,-0.0011662869659131265,0.038056096503859736,0.008016331701007991,0.035163574032598136,-0.0013912343981776105,-0.024655226154837995,-0.017571105368935292,-0.020589967095073027,-0.01326551282355254,0.006371048840316135,-0.0018367741324319378,0.0046717200323167975,0.0015209458007231606,-0.3973669091562023,-0.10905698005698032,-0.04096866096866096,0.07597414180794324,-18944.5570154355,-0.18080859966853907,-0.3059715099715093,0.0019430199430199577,0.054259259259259285,0.19391452991453,0.025099715099715102,0.00017948717948719842,0.03249572649572649,-0.10377264957264926,0.0895804204631333,-0.0922211957955784,0.005468229889869961,-0.004156190806042979,0.002701456305755346,0.0406719007653612,-889340323.2877492,0.009501670893891609,-0.5848433048433047,-0.05314233643523265,-0.00712270641218693,0.3879330509724246,0.054109002306553085,-0.09675213675213656,0.4964612535612535,-0.2222649572649576,-0.0002638746438746437,0.0011227350427350426,0.0007276353276353276,0.015571225071225072,-0.010762213921880322,-0.5795527065527093,-0.3399422170327695,0.05035042735042728,-0.06140455840455832,0.00041880341880350114,-0.024934472934472915,0.03452136752136761,0.048943019943019805,0.032521367521367466,-0.03239886039886042,-0.022646723646723738,-0.025492877492877528,0.007598290598290598,-0.008529914529914391,-0.014395556186046932,-0.039191327252847685,0.02789312660499046,0.028314372824274694,4.2734419573399435e-05,-0.15744794551688387,1.052813919463181,-13.538342619478236,-0.003126078360330159,-0.09939458142256588
Andover,-0.004387464387464356,1542.2297249056282,-0.014520405484729269,-0.22633519531630714,131232.47863247865,124191.7038712666,0.7735042735042708,-0.10760322633514617,-0.002520344374121627,-0.00036309584628924535,0.06376443613430609,-0.00033492199892959466,-0.001002423987709361,0.06168338073122673,0.020772379353331483,0.00608988089636501,-0.010746512380328086,-0.006363243981954193,-0.018388460357409996,-0.020948756861082562,-0.005827236576212827,-0.009138081852204966,-0.038094868846735234,0.0002088170605025301,-0.035682354329166235,-0.018283980838155373,-0.017445395859817508,-0.013370073583677056,-0.0051224234136118185,-0.0011504339843330276,-0.002576201519591112,-0.0008236253044591501,-0.004164596439590856,0.0539430199430197,-0.010968660968660962,0.04283553822125047,-11606.557015435501,0.014191400331460937,-0.03297150997150944,-0.0040569800569800335,0.0022592592592592803,0.007914529914529973,9.971509971510617e-05,0.004179487179487197,0.017495726495726473,-0.025872649572649287,-0.002419579536866723,0.017778804204421572,0.018468229889869958,-0.0001561908060429787,0.010701456305755344,0.12767190076536114,4510987221.712251,0.009901670893891606,0.6251566951566951,0.015435255630975213,0.012993126103658659,0.03412351002089156,0.04926001277715274,0.39324786324786337,0.010661253561253569,-0.00826495726495752,6.125356125356201e-06,0.0025927350427350426,-0.0005723646723646724,0.003771225071225072,0.015635162088119686,2.3614472934472897,-0.3969422170327695,0.08035042735042723,0.020595441595441688,0.002418803418803489,-0.02693447293447292,-0.0774786324786324,0.07794301994301978,-0.004478632478632533,-0.02539886039886041,-0.03064672364672373,0.013507122507122464,-0.0204017094017094,-0.01152991452991442,0.06560444381395314,0.06680867274715219,0.018893126604990484,-0.004685627175725307,5.6679489573399463e-05,-0.2044212095630892,-0.10963801758091217,0.36165738052176266,-0.03633932376910075,-0.04702626688610975
Aquinnah,-0.02138746438746436,14973.688544994558,-0.05452040548472928,-0.22633519531630714,648932.4786324786,793791.7038712666,-2.8264957264957284,-0.4437961645242683,-0.017828917980207273,0.21378038046357714,-0.025330917365793633,-0.00033492199892959466,0.07632184985200118,-0.04573234789611051,-0.0756644606628306,-0.04711224402388221,-0.011434703768842137,0.0016695001953382605,0.04511454672126875,0.04410870074584227,-0.0040027840751919105,-0.038819952483069874,-0.06300101634985844,0.0337694619722543,0.011653719736657957,-0.015410817202309753,0.025544071378738018,-0.01190539888000338,-0.012556752026962626,-0.007699063622945687,-0.002576201519591112,0.0015209458007231606,0.06348160608754666,0.2409430199430197,0.12103133903133904,-0.047922221808901516,-10072.557015435501,-0.04580859966853912,-0.1149715099715094,0.010943019943019966,0.038259259259259285,0.06291452991452996,9.971509971510617e-05,0.0021794871794871967,0.011495726495726484,-0.08747264957264927,-1.3488357703272724,0.2821486722250639,-0.347381009135383,-0.6814426477255391,-0.05179054006526068,0.37174462172230105,6378303242.712251,-0.0001983291061083935,-1.5048433048433048,0.05966518532485408,-0.025553556138000588,0.08988830039404863,0.025234868412087632,-0.2067521367521366,0.003661253561253561,-0.057264957264957624,-0.00019387464387464373,-0.005207264957264957,-0.002272364672364673,-0.006928774928774927,-0.051516161961880316,12.54044729344729,0.6030577829672306,-0.28064957264957274,0.014595441595441684,0.06341880341880349,-0.060934472934472926,0.2645213675213676,0.12694301994301976,-0.10647863247863254,0.0036011396011395853,-0.08264672364672374,-0.01649287749287753,-0.016401709401709402,0.0904700854700856,-0.11147433244059002,0.33704324152638954,-0.06129878254631507,-0.015115152154002791,-0.0011809847043940116,-0.7090766833848121,-0.4727621580039689,-22.191978622352728,0.06901731119878972,0.0278178079579651
