index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Stow,-55.459566633621314,-133.45135249964594,-57.78218382665345,,-0.0,-64.15521880753434,-188.3302648350092,-24.7557003257329,0.2172,-0.17370000000000002,-0.529,-0.062,0.038,-0.095,,-0.0,0.0,,-0.000141622999575131,0.0077892649766322045,-0.013595807959212577,-0.002124344993626965,-0.000708114997875655,-0.28324599915026194,-0.006952641999999999,-0.002213417,0.8663,-0.0,-0.05868544601,0.000708114997875655,0.000424868998725393,,-470.8557,-114.0,-134.0,-106.0,-54.0,-98.0
Sturbridge,-20.598146588037068,-126.81128896377422,-60.70977253580455,-11.425863521482727,-13.995366470092671,-60.57287278854255,-185.42544229149115,-27.643218197135635,0.223,-0.2496,-0.5760000000000001,-0.098,0.039,-0.08900000000000001,-0.125,-0.048,0.0,-0.8492569,-0.0,0.009372367312552652,-0.0056866048862679024,-0.0007371524852569503,-0.0007371524852569503,-0.42122999157540014,-0.007564486,-0.0024962260000000003,0.8305,-0.0,-0.1522070015,0.00410699241786015,0.0013689974726200506,-60.2,-566.5722,-102.0,-110.0,-86.0,-89.0,-71.0
Sudbury,-16.92872966985465,-54.61717188090992,-20.85697303722916,,,-36.116064191927364,-59.242448803155575,-9.407251310315015,0.2354,-0.1465,-0.506,-0.067,0.035,-0.076,-0.071,-0.015,0.0,-0.706636952,-0.0,0.007132436375425514,-0.005511428108283352,-0.00021613443561895496,-0.00021613443561895496,-0.054033608904738746,-0.0067533359999999995,-0.0026666490000000005,0.8943000000000001,-0.0,-0.00896057348,0.0005403360890473875,0.00032420165342843255,-52.6,-604.6375,-164.0,-110.0,-101.0,-63.0,-0.0
Sunderland,-107.33590733590736,-264.2029784886928,,,,-188.55488141202432,-249.31053502482075,,,,,,,,-0.171,-0.081,0.0,-1.630434783,-0.0,0.006894649751792609,-0.03254274682846112,-0.002482073910645339,-0.0011031439602868175,-0.27578599007170435,-0.006582073000000001,-0.002447517,0.8466,-0.0,-0.16666666670000002,0.0019305019305019305,0.0,,-622.8913,-137.0,-93.0,-59.0,-45.0,-215.0
Sutton,-41.64784339034097,-131.4617618586641,-27.58954501452081,,,-57.577713240830356,-203.75389910723888,-25.018823276325694,0.2279,-0.1987,-0.519,-0.071,0.033,-0.085,-0.107,-0.042,4.424778761000001,-0.87517777,-0.0002151231580079596,0.009465418952350221,-0.018823276325696463,-0.002043670001075616,-0.0,-0.2151231580079596,-0.007072261,-0.002515013,0.8629000000000001,-0.10756157900397977,-0.04273504274000002,0.0017209852640636765,0.0007529310530278584,-84.8,-323.1558,-104.0,-77.0,-81.0,-104.0,-151.0
Swampscott,-18.537261698440204,-64.20797227036395,-32.93587521663778,,,-43.05719237435009,-89.5944540727903,-10.433275563258231,0.2376,-0.1876,-0.562,-0.071,0.040999999999999995,-0.092,-0.094,-0.025,2.5706940869999997,-0.641208321,-0.0,0.009220103986135184,-0.011923743500866552,-0.001871750433275564,-0.0,-0.2772963604852686,-0.0075908769999999985,-0.002967211,0.8468000000000001,-0.06932409012131716,-0.01630789302,0.001802426343154246,0.0005545927209705373,-50.6,-623.1184,-117.0,-88.0,-88.0,-97.0,-134.0
Swansea,-25.890648193963386,-78.20385947550719,-31.129391390400794,-9.574468085106382,-8.776595744680852,-39.38025729836715,-115.66674913409204,-14.349332013854527,0.179,-0.2258,-0.609,-0.10400000000000001,0.040999999999999995,-0.11,-0.212,-0.075,0.0,-0.9292528809999999,-6.185056902523504e-05,0.00822612568035626,-0.006741712023750618,-0.00037110341415141023,-0.0,-1.6081147946561107,-0.008163579,-0.002668586,0.8262999999999999,-0.06185056902523504,-0.0744047619,0.007050964868876794,0.0008040573973280554,-176.4,-357.0769,-94.0,-125.0,-84.0,-82.0,-79.0
Taunton,-5.810196691045943,-30.96818859617979,-12.568344812894981,-3.710146985727473,-4.0900376340268405,-19.814670169708158,-61.89022225378115,-5.439181992473193,0.1806,-0.2969,-0.6459999999999999,-0.079,0.039,-0.141,-0.223,-0.135,6.085192697999999,-1.7947259930000001,-0.0,0.011414471348434282,-0.006319676205353972,-0.0012426329617269047,-0.00012426329617269048,-2.893559610878364,-0.008442396000000001,-0.003036702,0.8104,-0.19527089398565647,-0.1631361091,0.009230987715685578,0.0018994532414968407,-222.7,-722.2972,-98.0,-88.0,-121.0,-124.0,-121.0
Templeton,-51.05527638190954,-196.60804020100502,-108.7562814070352,-20.100502512562816,,-118.643216080402,-256.68341708542715,-35.21356783919597,0.1776,-0.2116,-0.593,-0.075,0.035,-0.113,-0.177,-0.083,14.49275362,,-0.0001256281407035176,0.009045226130653266,-0.01771356783919598,-0.0026381909547738692,-0.0,-0.8793969849246231,-0.0076988840000000005,-0.002814959,0.8325,-0.12562814070351758,-0.1904761905,0.007537688442211055,0.0007537688442211055,-130.0,-883.0613,-81.0,-85.0,-112.0,-135.0,-175.0
Tewksbury,-12.519094109052267,-51.22866440858072,-14.98638507006708,-4.074516836023112,-5.02092050209205,-18.93803546523211,-67.52673175267317,-7.504815036195789,0.17309999999999998,-0.2374,-0.612,-0.092,0.036000000000000004,-0.098,-0.16699999999999998,-0.057,5.643340857999999,-0.8301510870000001,-3.320714617785747e-05,0.009796108122467955,-0.005014279072856479,-0.0006973500697350072,-0.00023245002324500234,-1.0294215315135815,-0.00770214,-0.002560525,0.7953,-0.03320714617785747,-0.04219409283,0.0027561931327621703,0.001195457262402869,-105.6,-479.4757,-98.0,-103.0,-92.0,-118.0,-177.0
