index,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
Bernardston,3.804132726,0.9260459469,1.417330598,,,0.7695312505,0.888146591,,,,,,,,-0.5059185582,0.07376279112,-0.4750529212,,-0.2448892329,0.3864197923,-0.04591552468,0.3332798793,0.490576972,-0.02494620028,-0.2254670464,-0.2422976515,1.186653042,-0.5055196414,0.2024682335,-0.188117505,0.1172542376,,0.6405704268,0.5438973224,1.599342319,-0.6309894022,-0.3330808969,-0.9139486493
Beverly,-0.6612679507,-0.4626017481,-0.4869328978,-0.2797842465,-0.5210793705,-0.3143843305,-0.4038608042,-0.6287798978,0.4419706664,-0.3055265483,-0.9952352555,-0.7765392448,-0.781423135,0.4731035273,0.8147041614,0.2085440168,0.0435901011,-0.09618855373,1.186307287,0.6405464336,-0.09759041112,-0.2368314864,-0.1185789575,0.4573587508,0.617345857,1.148485427,-0.8568650232,-0.3260987699,-0.4654398032,-0.2409363161,-0.2669747069,-0.4055870206,1.996656804,0.2481244264,0.6253828939,-0.1680046599,0.6816822376,-0.007933516123
Billerica,-0.5898938251,-0.4730728914,-0.4977599587,-0.2286674443,-0.5343545059,-0.3848401644,-0.470059465,-0.634814955,-0.7826230071,1.215055984,1.364230871,0.02746064365,-0.781423135,0.1634797446,-0.3298355289,-0.1284090474,-0.1718270967,-0.1009695823,-0.1705936726,0.5759483021,-0.09757264663,-0.2080521074,-0.1166554545,0.1085473607,-0.088083719,-0.4866959288,-0.04916165394,-0.3285535115,-0.473294472,-0.1687371184,-0.1376181928,-0.1353884687,-0.5048757551,0.08679375581,0.1778880231,0.2949800825,1.002133754,-0.007933516123
Blackstone,-0.270518638,-0.2795959903,-0.3235189843,,,-0.2399439988,-0.2426191597,-0.3988916234,0.135822248,0.5043780807,1.28286997,-0.3436162279,-1.226559334,-0.6621836758,0.2204239376,-0.09471374096,-0.4750529212,,-0.2448892329,0.8345075543,-0.07824213462,-0.1421231625,-0.08997810624,-0.9634678239,1.258682689,0.2634020573,-0.0948268621,-0.1051422111,-0.1379087799,0.1606577697,0.2994440532,,-0.9492865704,-0.1820906951,0.09891833998,-0.6553570203,0.5481607725,-0.9139486493
Blandford,,0.775238256,2.976288462,-0.4880062904,,,,,,,,,,,1.298932492,1.202555556,-0.4750529212,,-0.2448892329,-0.7147514813,0.1445878343,0.5396319608,-0.126837945,-0.1850634613,-0.1762377293,-2.135059599,0.6986061297,,0.5664879684,0.3620982353,0.9881402132,,,-2.440720083,0.5727364385,-0.6309894022,0.6816822376,-0.9006248973
Bolton,0.7981058876,0.01419823331,0.0976882336,,,-0.1156637789,0.1278759709,1.449155031,-0.7788894898,-0.8874778877,-1.666462688,-0.7765392448,-0.3362869357,-0.8169955671,,-1.122420587,0.5127999602,-0.2521705415,0.05358710527,0.6157401622,-0.09887707552,0.04696011803,-0.126837945,-0.9964893704,-1.657935256,0.5345405187,-0.1833032029,-0.5055196414,-0.4468881588,-0.2278598149,-0.2493031845,,-0.8488882164,0.4901204322,1.151847448,0.05130390233,-0.7870538781,-0.9139486493
Boston,-0.7932890943,-0.5625333051,-0.5476795265,-0.4637911315,-0.6808774901,-0.4283004709,-0.5311299466,-0.9064733689,-0.6743510055,-0.2116634291,-0.7918330033,-0.7146930995,-1.968453,0.6795193824,,-1.122420587,0.2266465245,1.031430632,-0.2448892329,,-0.1060784664,-0.2356847372,-0.1218648096,0.3779396452,0.8587258597,1.624506782,0.7471254133,-0.2506608271,0.1643772457,-0.2462967816,-0.2729398703,0.1577681301,0.3464072151,0.03301686563,0.8096454878,0.3924505546,0.3612307214,0.6582540818
Bourne,-0.4203209212,-0.350787373,-0.2888880665,0.1638124166,0.4528563073,-0.2932283867,-0.2773446214,-0.046563229,-0.6519499017,0.2656975774,0.9981068168,-0.8383853901,0.8507429292,0.2150837084,0.06635128694,-0.6506862968,-0.1883291824,,-0.1655647169,-0.1631521304,-0.04666513005,0.3469893463,-0.126837945,2.841023228,0.8699870917,-0.5067771033,-0.1005350131,0.4392038756,-0.4670705618,4.542822155,4.293928736,1.644743168,-0.4983029675,-0.1820906951,0.3358273893,-0.1192694238,0.8686122887,-0.007933516123
Boxborough,0.3353408761,-0.3029584862,-0.2904720261,,,0.1120983237,-0.107300472,,,-0.5737068891,-0.8325134537,-0.6528469543,-0.9298018681,0.5247074911,0.3524862095,1.050926677,-0.4750529212,,0.03318996641,-1.282714425,-0.05576948562,-0.1193212712,-0.126837945,-1.257898076,-1.53141406,-0.6748618678,-0.7113071722,-0.5055196414,-0.606197534,0.7032774219,0.2775954514,,-0.8229521447,1.001000889,0.4937667554,0.2949800825,0.2010049634,-0.9139486493
Boxford,0.04212922044,-0.2029872556,-0.2462408221,,,-0.1930721805,-0.3007226221,0.451789306,,-0.1687545746,-0.5274100753,0.6459220963,0.7023641961,0.008667853291,-1.254271433,-0.4653621115,-0.4750529212,,-0.2448892329,-0.22932057,-0.08901902059,-0.1048205373,-0.126837945,-1.093739255,-0.7625130201,-1.374938383,0.1363532542,-0.5055196414,-0.8491443312,-0.2347545995,-0.2580965602,,-1.088977414,0.6245626577,1.230817131,-1.313282707,-0.8137581711,-0.9139486493
Boylston,,0.003348136186,-0.1450203108,,,-0.1358704384,-0.1226365949,0.9629762982,1.095336193,0.05383510824,0.6523229879,-0.03438550161,-0.1879082026,-0.5073717845,,-1.122420587,0.9144544286,,2.14140402,-0.3942664971,-0.05630336793,-0.1888126495,-0.126837945,0.5334796159,0.6458301497,-1.311434785,0.2419540481,0.3064748156,-0.4424433392,-0.1899466672,-0.2189474938,0.1877901915,-0.6398063413,1.135443114,-0.6907784909,0.3680829366,-1.107505394,-0.9139486493
Braintree,-0.5492388176,-0.4713766382,-0.4739423878,-0.240617685,-0.3440606071,-0.3721275437,-0.4442220277,-0.6365629551,-0.379403139,-0.8472508366,0.02177600583,1.202537404,-0.03952946944,-0.7137876396,-0.8360742381,-0.5496003776,0.2687421895,-0.06499591319,-0.2448892329,0.6532258808,-0.1012524315,-0.2249466371,-0.1106486848,0.8850712382,0.8606061604,0.383119058,0.6215460909,-0.3045478481,-0.453218485,-0.2394077159,-0.2528948848,0.2760903718,-0.07169951173,0.436343542,0.09891833998,0.904170533,0.1743006703,1.457679199
Brewster,-0.03516583187,-0.350162948,-0.2273834193,,1.514441974,-0.2191601141,-0.008755765423,-0.02340557747,2.185523244,-0.4449803255,-0.6087709762,1.140691258,3.076423926,-0.6621836758,-0.4839081796,-0.4316668051,0.3568231894,-0.06637880331,-0.0828395072,-1.089883219,-0.07327041056,-0.01998231449,-0.126837945,-0.548273835,0.1207798363,0.1373037687,-0.01491274782,0.2664595376,-0.1513919183,0.3975834379,0.3430395641,1.346288558,-0.9105096873,1.027889334,0.8096454878,-0.4604160761,-0.520010948,-0.1544947877
Bridgewater,-0.49879607,-0.416280421,-0.4493360137,-0.2227645339,-0.2064868651,-0.3603786314,-0.4416571403,-0.4016300763,-0.8162246628,-0.3511172063,0.08279668151,-0.8383853901,-0.4846656688,1.143955056,-0.5939600729,0.5118017745,-0.2752975202,-0.1228042324,-0.2448892329,0.299916484,-0.09823559563,-0.2157167146,-0.1005412209,0.05493849706,0.9015633888,-0.1883533616,-0.1262216927,0.06575875732,-0.6753240726,-0.197993039,-0.2159603956,-0.3596709268,-0.4095877058,0.2481244264,0.09891833998,0.1487743744,0.2010049634,0.7515203455
Brimfield,1.441846274,0.2100502019,0.4389608009,,,0.4001426192,0.3763460739,3.152523232,,,,,,,0.3524862095,-0.1284090474,-0.4750529212,,0.1692426788,0.3229594717,-0.02760212604,0.06942398981,-0.126837945,-0.5324959384,0.1977795902,-0.1897766855,-3.040232788,0.480909715,0.8897425875,0.5850469543,0.2845850621,,-0.369561339,0.08679375581,-0.6644552632,-1.093974145,0.4947521865,1.417707943
Brockton,-0.7094905397,-0.5033711629,-0.5050674127,-0.2165516611,-0.3319441734,-0.3814062556,-0.4456866556,-0.7356679667,-1.615197364,2.944819181,1.913416952,2.439460309,0.553985463,1.763202622,0.1103720443,-0.1115613942,0.1697764052,0.5859250929,-0.2284940716,,-0.1044971947,-0.2316353077,-0.1187486748,3.049818143,1.280608558,1.27048732,-0.6913286437,-0.1149999081,1.569101303,-0.2372308641,-0.2651497598,2.635471191,1.11102561,-0.2089791402,0.3095041616,0.7092295889,1.028838047,1.750801742
