index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Dighton,0.04,0.73,0.21,0.56,0.8,0.1,0.2,0.18,0.35
Douglas,0.06,0.75,0.14,0.53,0.92,0.0,0.14,0.12,0.33
Dover,0.23,0.6,1.0,0.82,0.63,0.07,0.7,0.11,0.52
Dracut,0.1,0.49,0.23,0.48,0.73,0.2,0.18,0.11,0.32
Dudley,0.09,0.56,0.13,0.55,0.58,0.12,0.12,0.13,0.29
Dunstable,0.05,0.87,0.05,0.66,0.88,0.03,0.33,0.13,0.38
Duxbury,0.12,0.5,0.25,0.69,0.49,0.0,0.35,0.11,0.31
East Bridgewater,0.09,0.5,0.19,0.42,0.75,0.34,0.13,0.12,0.32
East Brookfield,0.07,0.94,0.2,0.49,0.94,0.04,0.14,0.16,0.37
East Longmeadow,0.09,0.48,0.25,0.51,0.55,0.0,0.13,0.13,0.27
Eastham,0.11,0.52,0.2,0.63,0.22,0.44,0.2,0.14,0.31
Easthampton,0.13,0.5,0.14,0.57,0.66,0.12,0.11,0.13,0.3
Easton,0.17,0.48,0.19,0.56,0.77,0.09,0.16,0.12,0.32
Edgartown,0.26,0.95,0.05,0.58,0.73,0.17,0.35,0.13,0.4
Egremont,0.06,0.97,0.2,0.38,0.65,0.14,0.16,0.09,0.33
Erving,0.12,0.95,0.19,0.67,0.7,0.0,0.08,1.0,0.46
Essex,0.23,0.68,0.21,0.88,0.61,0.0,0.37,0.08,0.38
Everett,0.54,0.42,0.14,0.22,0.62,0.16,0.13,0.15,0.3
Fairhaven,0.06,0.49,0.3,0.5,0.46,0.12,0.1,0.13,0.27
Fall River,0.15,0.46,0.17,0.23,0.31,0.08,0.13,0.18,0.21
Falmouth,0.11,0.51,0.22,0.58,0.37,0.13,0.2,0.21,0.29
Fitchburg,0.19,0.48,0.16,0.21,0.44,0.18,0.09,0.18,0.24
Florida,0.06,0.95,0.28,0.3,0.41,0.2,0.06,0.19,0.31
Foxborough,0.1,0.48,0.29,0.57,0.7,0.0,0.2,0.16,0.31
Framingham,0.2,0.44,0.15,0.51,0.75,0.14,0.24,0.14,0.32
Franklin,0.17,0.47,0.26,0.58,0.79,0.3,0.21,0.11,0.36
Freetown,0.04,0.67,0.34,0.52,0.77,0.23,0.17,0.14,0.36
Gardner,0.13,0.5,0.16,0.36,0.48,0.04,0.11,0.16,0.24
Georgetown,0.05,0.52,0.14,0.61,0.78,0.14,0.25,0.13,0.33
Gill,0.21,0.95,0.17,0.46,0.87,0.0,0.1,0.19,0.37
Gloucester,0.2,0.54,0.12,0.49,0.51,0.11,0.27,0.14,0.3
Goshen,0.07,0.96,0.04,0.57,0.94,0.0,0.27,0.1,0.37
Gosnold,0.74,1.0,0.25,1.0,0.27,0.0,0.38,0.2,0.48
Grafton,0.11,0.48,0.37,0.61,0.78,0.1,0.24,0.12,0.35
Granby,0.03,0.7,0.13,0.5,0.71,0.0,0.08,0.11,0.28
Granville,0.04,0.95,0.33,0.38,0.68,0.0,0.18,0.1,0.33
Great Barrington,0.32,0.93,0.31,0.45,0.39,0.17,0.12,0.14,0.35
Greenfield,0.13,0.95,0.1,0.56,0.58,0.32,0.09,0.18,0.36
Groton,0.11,0.65,0.37,0.66,0.65,0.19,0.2,0.11,0.37
Groveland,0.09,0.54,0.16,0.44,0.66,0.17,0.22,0.24,0.32
Hadley,0.06,0.7,0.12,0.62,0.51,0.44,0.25,0.13,0.35
Halifax,0.13,0.61,0.16,0.22,0.72,0.04,0.18,0.12,0.27
Hamilton,0.22,0.55,0.28,0.67,0.64,0.18,0.46,0.12,0.39
Hampden,0.07,0.71,0.26,0.51,0.54,0.06,0.0,0.12,0.28
Hancock,0.07,0.95,0.14,0.72,0.75,0.0,0.12,0.13,0.36
Hanover,0.15,0.47,0.14,0.49,0.64,0.41,0.25,0.12,0.33
Hanson,0.14,0.52,0.19,0.48,0.79,0.06,0.23,0.13,0.32
Hardwick,0.09,0.96,0.34,0.48,0.36,0.0,0.15,0.17,0.32
Harvard,0.11,0.84,0.21,0.79,0.43,0.18,0.38,0.12,0.38
Harwich,0.08,0.51,0.25,0.22,0.37,0.19,0.16,0.13,0.24
Hatfield,0.09,0.96,0.24,0.6,0.65,0.0,0.16,0.16,0.36
Haverhill,0.17,0.46,0.19,0.49,0.68,0.15,0.16,0.16,0.31
Hawley,0.22,0.95,0.3,0.07,0.5,0.0,0.05,0.3,0.3
Heath,0.05,0.94,0.08,0.7,0.54,0.0,0.1,0.07,0.31
Hingham,0.33,0.49,0.37,0.72,0.51,0.34,0.3,0.12,0.4
Hinsdale,0.06,0.83,0.05,0.59,0.7,0.0,0.11,0.17,0.31
Holbrook,0.26,0.47,0.19,0.37,0.5,0.11,0.13,0.14,0.27
Holden,0.05,0.55,0.27,0.47,0.76,0.16,0.13,0.11,0.31
Holland,0.07,0.95,0.19,0.44,0.7,0.0,0.1,0.14,0.32
Holliston,0.11,0.48,0.26,0.66,0.76,0.08,0.21,0.11,0.33
Holyoke,0.16,0.46,0.15,0.32,0.4,0.24,0.09,0.37,0.27
Hopedale,0.14,0.48,0.08,0.58,0.7,0.0,0.21,0.16,0.29
Hopkinton,0.17,0.56,0.64,0.72,0.8,0.13,0.35,0.11,0.43
Hubbardston,0.04,0.94,0.18,0.75,0.81,0.0,0.11,0.21,0.38
Hudson,0.07,0.48,0.15,0.59,0.72,0.21,0.22,0.1,0.32
Hull,0.29,0.5,0.21,0.52,0.67,0.11,0.16,0.17,0.33
Huntington,0.04,0.95,0.15,0.53,0.73,0.29,0.14,0.06,0.36
Ipswich,0.12,0.62,0.11,0.61,0.66,0.11,0.21,0.12,0.32
Kingston,0.08,0.51,0.1,0.67,0.73,0.05,0.17,0.12,0.3
Lakeville,0.08,0.71,0.26,0.52,0.8,0.16,0.12,0.16,0.35
Lancaster,0.07,0.63,0.27,0.65,0.55,0.22,0.12,0.13,0.33
Lanesborough,0.09,0.75,0.18,0.52,0.76,0.0,0.1,0.16,0.32
Lawrence,0.33,0.41,0.14,0.14,0.24,0.16,0.11,0.12,0.21
Lee,0.13,0.94,0.21,0.56,0.5,0.1,0.11,0.14,0.34
Leicester,0.08,0.6,0.15,0.5,0.74,0.05,0.13,0.12,0.3
Lenox,0.05,0.9,0.2,0.59,0.28,0.12,0.2,0.12,0.31
Leominster,0.12,0.47,0.15,0.46,0.65,0.2,0.15,0.14,0.29
Leverett,0.06,0.96,0.17,0.44,0.64,0.0,0.19,0.12,0.32
