\,house_nokitchen_%,house_lt1939_%,house_2000to2014_%,median_owner_home_USD,median_sale_homes_USD,house_income_gt30_USD_%,gross_rent_%,property_val_USD,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,homeless_Shelters_per_1000,moved_lastyear_%,vacant_rentals_%,owner_homes_%,occ_lt0.5_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%
house_nokitchen_%,0.0,0.748082106274212,0.02292157388326144,0.00500832514011308,0.11287664825809215,0.0005516881726755373,0.4925370915530899,0.45975720296819844,0.0005034515544116998,8.802893066454828e-05,0.8608790897190541,0.38504795528742664,3.4175386406144845e-10,0.0867280165503416,0.0015487656162734085,0.7197960571066838,0.15015374890323577,0.2127396836802985,0.16970682773255094,0.0043524706674300685,0.34300052246323,0.02357661859676292,0.1325702485667144,0.8542444529811279,0.5239029948282383,0.00047465587811914054,0.3907518948784844,0.3489188061846127
house_lt1939_%,0.748082106274212,0.0,5.344271856222887e-23,0.009621704983018916,0.2417336495301327,7.487377276149429e-13,0.4938346973307488,0.7876015743242114,0.00539067099918784,0.40717644346630777,0.8145536585052122,0.20715713586891116,0.009937417842900724,0.028984846037479754,0.46346753282012165,0.4342197391885835,0.008000784291273636,0.7304121327944213,0.30651663741562013,0.01701198171192043,0.00017842577711068292,1.996844098658253e-09,8.815439026864903e-08,5.95469014252708e-35,0.00014489969162328098,6.786707096535234e-08,0.0002000764415911498,0.0514609310165494
house_2000to2014_%,0.02292157388326144,5.344271856222887e-23,0.0,0.016509334809355146,0.21884052808528048,3.3622503965127514e-06,0.030620643245899956,0.044601566624953085,0.4893416562582579,0.8654889836806605,0.14615152094793468,0.10081953783347443,0.5323228625193699,0.0006273621667751481,0.10476572855155272,0.7673402145115868,0.002222364288699711,0.7419066362467739,0.7773328921122605,0.16644843024741265,0.0012357380802187237,8.146458996286384e-08,1.2691900543461614e-05,1.2839598936154802e-14,0.029894982483708275,0.006117348768893071,0.05796463839998571,0.1977501909644942
median_owner_home_USD,0.00500832514011308,0.009621704983018916,0.016509334809355146,0.0,2.0482609516365128e-71,0.0017073312465474533,0.6154879691287893,0.0013732406368352666,0.49063347153658965,0.029382411167624627,0.022131232890151186,0.09818951819874343,0.0001465537582408018,0.004158496154691468,0.008978431114190928,8.297383891927422e-05,0.0038649419535431682,0.23315505834580993,0.4956568236154524,6.080461158353477e-07,0.959907664091581,0.7339842301220715,0.8303839318606253,0.026642609618308947,2.520190801861097e-06,0.00016407148627231837,0.7559716051711556,0.005223440034421908
median_sale_homes_USD,0.11287664825809215,0.2417336495301327,0.21884052808528048,2.0482609516365128e-71,0.0,0.019774381531929015,0.9668985700002125,0.01012574075740152,0.5169993086012545,0.012807092778243198,0.16187475711713065,0.250882899883533,0.001058153233520433,0.006333988263372323,0.13097904956987347,4.898581185319053e-05,0.0026820394068457704,0.543061787541169,0.7619678572736113,0.00032966233070392376,0.5755512130069798,0.12665289781518002,0.5746469338784121,0.5233006322548044,0.005622397125300178,0.001391830759200992,0.8244366571647974,0.023888618960163154
house_income_gt30_USD_%,0.0005516881726755373,7.487377276149429e-13,3.3622503965127514e-06,0.0017073312465474533,0.019774381531929015,0.0,0.06674971744533247,0.41051445805480047,2.6878807463040997e-19,8.784521277668159e-06,0.0008980397752830587,2.1301517368340442e-08,2.0959672020655235e-29,0.003957015766696877,0.3832170223378619,0.9988282952124682,0.5402135991274993,0.12358734926919993,0.7458969972676488,0.04954788368907551,0.003813039501463153,1.7468122848200883e-13,4.890673420175037e-07,1.1502355617355384e-26,2.3191409117976517e-07,0.0012379382123810583,5.926754716396968e-06,0.07929735571762554
gross_rent_%,0.4925370915530899,0.4938346973307488,0.030620643245899956,0.6154879691287893,0.9668985700002125,0.06674971744533247,0.0,0.534505186811282,1.0816548652797009e-06,0.06328043432859709,0.5370717263197713,0.0015135606091362661,9.06149424375454e-07,0.3676451921449492,0.6240955862056417,0.86737031835682,0.5025183618624455,0.9195582684920753,0.08991012608520846,0.010694096782846987,0.48114084140743985,0.0035635235429299543,0.4933894818568969,0.03862101837969125,0.24055657373256562,0.32483096818781865,0.04507590990508511,0.4354319513369084
property_val_USD,0.45975720296819844,0.7876015743242114,0.044601566624953085,0.0013732406368352666,0.01012574075740152,0.41051445805480047,0.534505186811282,0.0,0.7956053914997834,0.6675991277960198,0.655773561913463,0.47860695248718144,0.9484310496075672,0.864683235290051,0.5343112462213628,0.7874978673006863,0.6495656206247455,0.11969484304137883,0.26847826595099755,0.16464588065873562,0.572505217160056,0.39010790136685747,0.1384007626572364,0.21445759017835903,0.7964639451578017,0.9994084478108424,0.3985737375954772,0.46163643382451824
costas%income_wmgage_lt20%_%,0.0005034515544116998,0.00539067099918784,0.4893416562582579,0.49063347153658965,0.5169993086012545,2.6878807463040997e-19,1.0816548652797009e-06,0.7956053914997834,0.0,0.17212397075390434,5.523897703722897e-06,7.487128824668585e-10,1.4121403829932135e-50,2.1399747805320958e-06,0.05055885930946115,0.0902862097798367,0.21185823450894856,0.007855610430405072,0.12773026678497681,4.809042686811851e-06,0.1391769760632717,0.7160451780146724,0.22081040523751322,0.00013710814600743646,0.015678399540714618,0.0012404805859139055,0.08541140188884107,0.7954644776641916
costas%income_wmgage_20to25%_%,8.802893066454828e-05,0.40717644346630777,0.8654889836806605,0.029382411167624627,0.012807092778243198,8.784521277668159e-06,0.06328043432859709,0.6675991277960198,0.17212397075390434,0.0,0.0153337000252421,0.9941403247032011,4.0364338154782927e-19,0.8352055365254177,0.8735730672424612,0.46695304053402287,0.479522740283607,0.009369304611999987,0.8327278446500866,0.14389790014180387,0.8540386158988882,0.3002032709011344,0.17949793517020973,0.405576222049454,0.012590176144513524,0.03496519371382468,0.16241356387116168,0.7590885219931701
