Town,Health Score
Revere,0.84
Lowell,0.86
Fitchburg,0.87
Fall River,0.89
Brockton,0.9
Lynn,0.91
Chelsea,0.94
Holyoke,0.96
Springfield,0.96
New Bedford,0.97
Lawrence,1.0
