Town,Health Score
Hampden,0.0
Tolland,0.03
Florida,0.05
Hawley,0.05
Monroe,0.05
Athol,0.06
Cheshire,0.06
New Salem,0.06
Orange,0.06
Erving,0.07
Savoy,0.07
Springfield,0.07
Wales,0.07
Wendell,0.07
Charlemont,0.08
Clarksburg,0.08
Colrain,0.08
Granby,0.08
North Adams,0.08
Peru,0.08
Royalston,0.08
Russell,0.08
Sutton,0.08
Auburn,0.09
Becket,0.09
Chester,0.09
Fitchburg,0.09
Greenfield,0.09
Holyoke,0.09
Pittsfield,0.09
Rowe,0.09
Adams,0.1
Brookfield,0.1
Dalton,0.1
Easthampton,0.1
Fairhaven,0.1
Gill,0.1
Heath,0.1
Holland,0.1
Lanesborough,0.1
Lawrence,0.1
New Bedford,0.1
Phillipston,0.1
Southbridge,0.1
Ware,0.1
Warwick,0.1
Whately,0.1
Windsor,0.1
Worthington,0.1
Ashfield,0.11
Attleboro,0.11
Berkley,0.11
Brimfield,0.11
Buckland,0.11
Chesterfield,0.11
Chicopee,0.11
Gardner,0.11
Great Barrington,0.11
Hinsdale,0.11
Hubbardston,0.11
Lee,0.11
Montague,0.11
Norton,0.11
Oakham,0.11
Oxford,0.11
Palmer,0.11
Shelburne,0.11
Spencer,0.11
West Brookfield,0.11
West Springfield,0.11
Winchendon,0.11
Worcester,0.11
Acushnet,0.12
Agawam,0.12
Brockton,0.12
Cummington,0.12
Dudley,0.12
Hancock,0.12
Lakeville,0.12
Leyden,0.12
Ludlow,0.12
Millville,0.12
Monson,0.12
Mount Washington,0.12
New Ashford,0.12
New Marlborough,0.12
Northfield,0.12
Plainfield,0.12
Somerset,0.12
Southwick,0.12
Wareham,0.12
Warren,0.12
Blackstone,0.13
Conway,0.13
East Bridgewater,0.13
East Longmeadow,0.13
Everett,0.13
Fall River,0.13
Holbrook,0.13
Lancaster,0.13
Leicester,0.13
Lowell,0.13
Middlefield,0.13
North Brookfield,0.13
Otis,0.13
Petersham,0.13
Salisbury,0.13
Sandisfield,0.13
South Hadley,0.13
Swansea,0.13
Wilbraham,0.13
Ashburnham,0.14
Bernardston,0.14
Douglas,0.14
East Brookfield,0.14
Holden,0.14
Huntington,0.14
Leominster,0.14
Lynn,0.14
Maynard,0.14
Northampton,0.14
Northbridge,0.14
Sterling,0.14
Sturbridge,0.14
Taunton,0.14
Williamsburg,0.14
Yarmouth,0.14
Charlton,0.15
Dartmouth,0.15
Hardwick,0.15
Haverhill,0.15
Lunenburg,0.15
Milford,0.15
Westfield,0.15
Westhampton,0.15
Westport,0.15
Ayer,0.16
Barnstable,0.16
Belchertown,0.16
Carver,0.16
Chelsea,0.16
Clinton,0.16
Easton,0.16
Egremont,0.16
Harwich,0.16
Hatfield,0.16
Hull,0.16
Mashpee,0.16
Methuen,0.16
Millbury,0.16
Paxton,0.16
Pembroke,0.16
Raynham,0.16
Sheffield,0.16
Shutesbury,0.16
Sunderland,0.16
Swampscott,0.16
West Stockbridge,0.16
Westminster,0.16
Weymouth,0.16
Wilmington,0.16
Abington,0.17
Amesbury,0.17
Ashby,0.17
Avon,0.17
Barre,0.17
Blandford,0.17
Bourne,0.17
Dennis,0.17
Freetown,0.17
Kingston,0.17
Pelham,0.17
Revere,0.17
Richmond,0.17
Rochester,0.17
Shirley,0.17
Stockbridge,0.17
Webster,0.17
West Boylston,0.17
Dracut,0.18
Granville,0.18
Halifax,0.18
Newburyport,0.18
Plymouth,0.18
Rockland,0.18
Rutland,0.18
Shrewsbury,0.18
Stoughton,0.18
Templeton,0.18
Whitman,0.18
Billerica,0.19
Brewster,0.19
Bridgewater,0.19
Eastham,0.19
Falmouth,0.19
Leverett,0.19
Malden,0.19
Middleborough,0.19
Millis,0.19
Monterey,0.19
Oak Bluffs,0.19
Pepperell,0.19
Plympton,0.19
Randolph,0.19
Rehoboth,0.19
Salem,0.19
Sandwich,0.19
Williamstown,0.19
Bellingham,0.2
Braintree,0.2
Deerfield,0.2
Dighton,0.2
Foxborough,0.2
Groton,0.2
Lenox,0.2
New Braintree,0.2
Norwood,0.2
Princeton,0.2
Uxbridge,0.2
Wakefield,0.2
Wellfleet,0.2
Woburn,0.2
Boston,0.21
Franklin,0.21
Hopedale,0.21
Ipswich,0.21
Plainville,0.21
Winthrop,0.21
Wrentham,0.21
Beverly,0.22
Groveland,0.22
Holliston,0.22
Hudson,0.22
Medford,0.22
Montgomery,0.22
Natick,0.22
Quincy,0.22
Saugus,0.22
Townsend,0.22
Canton,0.23
Danvers,0.23
Dedham,0.23
Hanson,0.23
Littleton,0.23
Longmeadow,0.23
Marshfield,0.23
Somerville,0.23
Southampton,0.23
Washington,0.23
Westborough,0.23
Amherst,0.24
Framingham,0.24
Grafton,0.24
Marlborough,0.24
Medway,0.24
North Attleborough,0.24
Northborough,0.24
Stoneham,0.24
Upton,0.24
Walpole,0.24
Watertown,0.24
West Bridgewater,0.24
Chelmsford,0.25
Georgetown,0.25
Hadley,0.25
Hanover,0.25
Melrose,0.25
Merrimac,0.25
North Reading,0.25
Seekonk,0.25
Tewksbury,0.25
Tyngsborough,0.25
Waltham,0.25
Berlin,0.26
Boylston,0.26
Mansfield,0.26
Middleton,0.26
Newbury,0.26
Alford,0.27
Gloucester,0.27
Goshen,0.27
Milton,0.27
Reading,0.27
Tisbury,0.27
Norfolk,0.28
Peabody,0.28
Mendon,0.29
North Andover,0.29
Southborough,0.29
Westford,0.29
Arlington,0.3
Mattapoisett,0.3
Hingham,0.31
Orleans,0.31
Stow,0.31
Acton,0.32
Marion,0.32
Provincetown,0.32
Scituate,0.32
Topsfield,0.32
Needham,0.33
Rowley,0.33
Sharon,0.33
Chatham,0.34
Dunstable,0.34
Boxborough,0.35
Duxbury,0.35
Edgartown,0.35
Wayland,0.35
Andover,0.36
Ashland,0.36
Bedford,0.36
Bolton,0.36
Hopkinton,0.36
Lexington,0.36
Burlington,0.37
Norwell,0.37
Belmont,0.38
Essex,0.38
Gosnold,0.38
Harvard,0.38
Marblehead,0.41
Concord,0.42
Truro,0.43
Tyringham,0.43
Wenham,0.43
Cohasset,0.45
Sherborn,0.45
Boxford,0.46
Manchester-by-the-Sea,0.46
Newton,0.46
Hamilton,0.47
Lincoln,0.47
Nahant,0.48
Medfield,0.49
Westwood,0.5
Lynnfield,0.52
Sudbury,0.53
West Tisbury,0.54
Carlisle,0.55
Brookline,0.56
Cambridge,0.62
Nantucket,0.66
West Newbury,0.67
Winchester,0.68
Dover,0.72
Rockport,0.72
Chilmark,0.73
Wellesley,0.77
Weston,0.88
Aquinnah,1.0
