Tisbury,0.0
Westhampton,0.01
Medfield,0.02
Sudbury,0.02
Boxford,0.03
Orleans,0.03
Royalston,0.03
Paxton,0.04
West Newbury,0.04
West Tisbury,0.04
Bernardston,0.05
Boylston,0.06
Dover,0.06
Sherborn,0.06
Stockbridge,0.06
Truro,0.06
Wenham,0.06
Bolton,0.07
Carlisle,0.07
Cohasset,0.07
Nantucket,0.07
Newbury,0.07
Oakham,0.07
Otis,0.07
Sandwich,0.07
Dunstable,0.08
Hinsdale,0.08
New Marlborough,0.08
Rockport,0.08
West Stockbridge,0.08
Westminster,0.08
Williamsburg,0.08
Hatfield,0.09
Montgomery,0.09
Sheffield,0.09
Wellfleet,0.09
Boxborough,0.1
Colrain,0.1
Granville,0.1
Littleton,0.1
Norfolk,0.1
Orange,0.1
Rutland,0.1
Sharon,0.1
Wilbraham,0.1
Ashburnham,0.11
Buckland,0.11
Deerfield,0.11
Holden,0.11
Hubbardston,0.11
Newburyport,0.11
Shelburne,0.11
Topsfield,0.11
Upton,0.11
Weston,0.11
Williamstown,0.11
Blackstone,0.12
Brewster,0.12
Harvard,0.12
Heath,0.12
Pepperell,0.12
Somerset,0.12
Walpole,0.12
Auburn,0.13
Barre,0.13
Bedford,0.13
Brookline,0.13
Cheshire,0.13
Halifax,0.13
Hanover,0.13
Ipswich,0.13
Leverett,0.13
Maynard,0.13
Southwick,0.13
Berlin,0.14
Douglas,0.14
East Brookfield,0.14
Falmouth,0.14
Harwich,0.14
Lynnfield,0.14
Rehoboth,0.14
Southampton,0.14
Yarmouth,0.14
Becket,0.15
Duxbury,0.15
Holland,0.15
Millville,0.15
Rockland,0.15
Shutesbury,0.15
Belmont,0.16
Conway,0.16
Gardner,0.16
Gill,0.16
Hardwick,0.16
Lee,0.16
Lincoln,0.16
Northfield,0.16
Oxford,0.16
Provincetown,0.16
Shirley,0.16
Townsend,0.16
Wellesley,0.16
Arlington,0.17
Dennis,0.17
Dighton,0.17
Dudley,0.17
East Longmeadow,0.17
Easthampton,0.17
Lexington,0.17
Natick,0.17
Richmond,0.17
Scituate,0.17
Andover,0.18
Bellingham,0.18
Charlemont,0.18
Longmeadow,0.18
Pembroke,0.18
Ashfield,0.19
Cummington,0.19
Huntington,0.19
Northborough,0.19
Sterling,0.19
Athol,0.2
Brookfield,0.2
Chilmark,0.2
Lakeville,0.2
Salem,0.2
Tyngsborough,0.2
Uxbridge,0.2
Westborough,0.2
Westford,0.2
Belchertown,0.21
Needham,0.21
Norwell,0.21
Petersham,0.21
Plymouth,0.21
Webster,0.21
Whately,0.21
Acton,0.22
Burlington,0.22
Haverhill,0.22
Hawley,0.22
Leyden,0.22
Mansfield,0.22
Melrose,0.22
New Salem,0.22
Reading,0.22
Warwick,0.22
Weymouth,0.22
Winchester,0.22
Amesbury,0.23
Easton,0.23
Gosnold,0.23
Monterey,0.23
Phillipston,0.23
Revere,0.23
Swansea,0.23
Tyringham,0.23
West Brookfield,0.23
Cambridge,0.24
Danvers,0.24
Lancaster,0.24
Lunenburg,0.24
Mattapoisett,0.24
Medway,0.24
Mount Washington,0.24
North Attleborough,0.24
Rowe,0.24
Russell,0.24
Stow,0.24
Acushnet,0.25
Barnstable,0.25
Blandford,0.25
Carver,0.25
Concord,0.25
Eastham,0.25
Gloucester,0.25
Monroe,0.25
Sandisfield,0.25
Washington,0.25
Wayland,0.25
Wilmington,0.25
Aquinnah,0.26
Ashland,0.26
Beverly,0.26
Bourne,0.26
Clarksburg,0.26
Egremont,0.26
Florida,0.26
Foxborough,0.26
Goshen,0.26
Groton,0.26
Hancock,0.26
Hingham,0.26
Hudson,0.26
Marblehead,0.26
Mashpee,0.26
Middlefield,0.26
New Braintree,0.26
Newton,0.26
Sturbridge,0.26
Wales,0.26
Alford,0.27
Grafton,0.27
Northampton,0.27
Peru,0.27
Plainfield,0.27
Plainville,0.27
Savoy,0.27
Shrewsbury,0.27
Spencer,0.27
Tolland,0.27
Westwood,0.27
Amherst,0.28
Georgetown,0.28
Milford,0.28
Billerica,0.29
New Ashford,0.29
North Adams,0.29
Northbridge,0.29
Wareham,0.29
West Bridgewater,0.29
Chesterfield,0.3
East Bridgewater,0.3
Norton,0.3
Pelham,0.3
Ware,0.3
Worthington,0.3
Chester,0.31
Medford,0.31
Milton,0.31
Rowley,0.31
Adams,0.32
Canton,0.32
Dartmouth,0.32
Hamilton,0.32
Marion,0.32
Saugus,0.32
Southbridge,0.32
Wakefield,0.32
West Boylston,0.32
Wrentham,0.32
Dalton,0.33
Erving,0.33
Hopedale,0.33
Marshfield,0.33
Norwood,0.33
Attleboro,0.34
Hadley,0.34
Mendon,0.34
Raynham,0.34
Boston,0.35
Lenox,0.35
Palmer,0.35
Wendell,0.35
Westport,0.35
Windsor,0.35
Chelmsford,0.36
Dedham,0.36
Holliston,0.36
North Andover,0.36
North Reading,0.36
Rochester,0.36
Seekonk,0.36
Waltham,0.36
Chicopee,0.37
Methuen,0.37
Somerville,0.37
Taunton,0.37
Abington,0.38
Bridgewater,0.38
Charlton,0.38
Dracut,0.38
Franklin,0.38
Hopkinton,0.38
Edgartown,0.39
Leominster,0.39
Middleborough,0.39
Peabody,0.39
Southborough,0.39
Swampscott,0.39
Fall River,0.4
Greenfield,0.4
Monson,0.4
Oak Bluffs,0.4
Stoughton,0.4
Worcester,0.4
Granby,0.41
Lawrence,0.41
Lynn,0.41
Westfield,0.41
Clinton,0.42
Lowell,0.42
Pittsfield,0.42
Princeton,0.42
Quincy,0.42
Randolph,0.42
Fairhaven,0.43
Hanson,0.43
Hull,0.43
North Brookfield,0.43
Winthrop,0.43
Woburn,0.43
New Bedford,0.44
Avon,0.45
Kingston,0.45
Sunderland,0.45
Sutton,0.45
Watertown,0.45
Holyoke,0.46
Marlborough,0.46
Middleton,0.46
Stoneham,0.46
Warren,0.46
Braintree,0.47
Holbrook,0.47
Millis,0.47
Chelsea,0.48
Groveland,0.48
Ludlow,0.48
Malden,0.48
Tewksbury,0.49
Ayer,0.5
Brimfield,0.5
Fitchburg,0.5
Great Barrington,0.5
Framingham,0.51
Millbury,0.51
South Hadley,0.51
Springfield,0.51
Ashby,0.52
Brockton,0.52
Manchester-by-the-Sea,0.54
Templeton,0.54
Berkley,0.55
Agawam,0.56
Freetown,0.56
Salisbury,0.57
Essex,0.61
Lanesborough,0.61
Merrimac,0.62
Hampden,0.63
Whitman,0.63
Chatham,0.64
Montague,0.64
Leicester,0.65
Everett,0.66
West Springfield,0.68
Winchendon,0.72
Nahant,0.77
Plympton,1.0
