index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Dighton,0.96,0.73,0.36,0.44,0.54,0.1,0.2,0.82,0.52
Douglas,0.96,0.75,0.2,0.44,0.76,0.0,0.14,0.88,0.52
Dover,0.76,0.6,0.49,0.47,0.75,0.07,0.7,0.89,0.59
Dracut,0.92,0.48,0.19,0.42,0.56,0.2,0.18,0.89,0.48
Dudley,0.94,0.56,0.13,0.43,0.25,0.12,0.12,0.87,0.43
Dunstable,0.94,0.87,0.3,0.48,0.69,0.02,0.33,0.87,0.56
Duxbury,0.85,0.5,0.35,0.43,0.54,0.0,0.35,0.89,0.49
East Bridgewater,0.9,0.5,0.17,0.42,0.51,0.34,0.13,0.88,0.48
East Brookfield,0.97,0.94,0.26,0.26,0.57,0.04,0.14,0.84,0.5
East Longmeadow,0.94,0.48,0.18,0.43,0.55,0.0,0.13,0.87,0.45
Eastham,0.91,0.52,0.2,0.48,0.42,0.44,0.2,0.86,0.5
Easthampton,0.89,0.5,0.22,0.42,0.41,0.12,0.11,0.87,0.44
Easton,0.83,0.48,0.13,0.43,0.5,0.09,0.16,0.88,0.44
Edgartown,0.77,0.96,0.04,0.46,0.8,0.17,0.35,0.87,0.55
Egremont,0.93,0.97,0.07,0.3,0.89,0.14,0.16,0.91,0.55
Erving,0.94,0.95,0.3,0.51,0.35,0.0,0.08,0.0,0.39
Essex,0.75,0.68,0.26,0.54,0.64,0.0,0.37,0.92,0.52
Everett,0.5,0.42,0.21,0.4,0.35,0.16,0.13,0.85,0.38
Fairhaven,0.95,0.5,0.85,0.44,0.5,0.11,0.1,0.87,0.54
Fall River,0.89,0.46,0.22,0.43,0.08,0.08,0.13,0.82,0.39
Falmouth,0.89,0.51,0.4,0.45,0.46,0.13,0.2,0.79,0.48
Fitchburg,0.87,0.48,0.11,0.4,0.09,0.17,0.09,0.82,0.38
Florida,0.96,0.95,0.27,0.57,0.16,0.2,0.06,0.81,0.5
Foxborough,0.89,0.47,0.38,0.43,0.46,0.0,0.2,0.84,0.46
Framingham,0.85,0.44,0.19,0.41,0.55,0.14,0.24,0.86,0.46
Franklin,0.82,0.46,0.14,0.43,0.51,0.3,0.21,0.89,0.47
Freetown,0.97,0.67,0.3,0.44,0.59,0.23,0.17,0.86,0.53
Gardner,0.91,0.5,0.08,0.41,0.48,0.04,0.11,0.84,0.42
Georgetown,0.96,0.52,0.32,0.56,0.6,0.14,0.25,0.87,0.53
Gill,0.8,0.95,0.16,0.57,0.62,0.0,0.1,0.81,0.5
Gloucester,0.81,0.54,0.25,0.42,0.45,0.11,0.27,0.86,0.46
Goshen,0.95,0.96,0.2,0.77,0.76,0.0,0.27,0.9,0.6
Gosnold,0.21,1.0,0.26,0.67,1.0,0.0,0.38,0.8,0.54
Grafton,0.89,0.48,0.21,0.43,0.59,0.1,0.24,0.88,0.48
Granby,0.97,0.7,0.16,0.44,0.57,0.0,0.08,0.89,0.48
Granville,0.96,0.95,0.18,0.12,0.5,0.0,0.18,0.9,0.47
Great Barrington,0.73,0.94,0.17,0.53,0.5,0.17,0.12,0.86,0.5
Greenfield,0.9,0.95,0.3,0.42,0.53,0.32,0.09,0.82,0.54
Groton,0.87,0.65,0.2,0.45,0.65,0.19,0.2,0.89,0.51
Groveland,0.93,0.54,0.15,0.3,0.73,0.17,0.22,0.76,0.48
Hadley,0.93,0.7,0.13,0.46,0.89,0.44,0.25,0.87,0.58
Halifax,0.91,0.61,0.15,0.44,0.48,0.04,0.18,0.88,0.46
Hamilton,0.78,0.55,0.15,0.44,0.66,0.18,0.46,0.88,0.51
Hampden,0.94,0.71,0.12,0.45,0.45,0.06,0.0,0.88,0.45
Hancock,0.9,0.95,0.16,0.72,0.77,0.0,0.12,0.87,0.56
Hanover,0.83,0.47,0.26,0.43,0.43,0.41,0.25,0.88,0.5
Hanson,0.87,0.52,0.19,0.43,0.64,0.06,0.23,0.87,0.48
Hardwick,0.92,0.96,0.13,0.59,0.24,0.0,0.15,0.83,0.48
Harvard,0.84,0.84,0.19,0.52,0.42,0.18,0.38,0.88,0.53
Harwich,0.94,0.51,0.13,0.25,0.66,0.19,0.16,0.87,0.46
Hatfield,0.91,0.96,0.16,0.48,0.82,0.0,0.16,0.84,0.54
Haverhill,0.87,0.46,0.22,0.42,0.47,0.15,0.16,0.84,0.45
Hawley,0.78,0.95,0.15,0.26,0.49,0.0,0.05,0.7,0.42
Heath,0.95,0.94,0.11,0.62,0.9,0.0,0.1,0.93,0.57
Hingham,0.64,0.49,0.13,0.45,0.68,0.33,0.3,0.88,0.49
Hinsdale,0.93,0.83,0.21,0.48,0.56,0.0,0.11,0.83,0.49
Holbrook,0.76,0.47,0.46,0.44,0.56,0.11,0.13,0.86,0.47
Holden,0.96,0.55,0.35,0.3,0.58,0.16,0.13,0.89,0.49
Holland,0.98,0.95,0.14,0.62,0.26,0.0,0.1,0.86,0.49
Holliston,0.86,0.48,0.29,0.43,0.57,0.08,0.21,0.89,0.48
Holyoke,0.87,0.46,0.51,0.41,0.08,0.23,0.09,0.63,0.41
Hopedale,0.87,0.48,0.58,0.45,0.56,0.0,0.21,0.84,0.5
Hopkinton,0.81,0.56,0.28,0.44,0.6,0.13,0.35,0.89,0.51
Hubbardston,0.96,0.94,0.19,0.72,0.59,0.0,0.11,0.79,0.54
Hudson,0.95,0.48,0.32,0.42,0.69,0.21,0.22,0.9,0.52
Hull,0.69,0.5,0.2,0.45,0.4,0.11,0.16,0.83,0.42
Huntington,0.97,0.95,0.17,0.44,0.89,0.28,0.14,0.94,0.6
Ipswich,0.87,0.62,0.22,0.44,0.56,0.11,0.21,0.88,0.49
Kingston,0.93,0.51,0.31,0.43,0.55,0.05,0.17,0.88,0.48
Lakeville,0.93,0.71,0.13,0.43,0.74,0.16,0.12,0.84,0.51
Lancaster,0.94,0.63,0.22,0.43,0.54,0.22,0.12,0.87,0.5
Lanesborough,0.93,0.75,0.6,0.41,0.26,0.0,0.1,0.84,0.49
Lawrence,0.78,0.41,1.0,0.41,0.03,0.16,0.11,0.88,0.47
Lee,0.89,0.94,0.32,0.45,0.64,0.1,0.11,0.86,0.54
Leicester,0.95,0.6,0.15,0.42,0.68,0.05,0.13,0.88,0.48
Lenox,0.9,0.9,0.44,0.47,0.62,0.12,0.2,0.88,0.57
Leominster,0.92,0.47,0.19,0.41,0.48,0.19,0.15,0.86,0.46
Leverett,0.89,0.96,0.2,0.53,0.68,0.0,0.19,0.88,0.54
Lexington,0.77,0.44,0.2,0.45,0.56,0.48,0.35,0.79,0.5
Leyden,0.96,0.97,0.13,0.76,0.7,0.0,0.12,0.86,0.56
Lincoln,0.75,0.63,0.08,0.45,0.79,0.08,0.47,0.89,0.52
Littleton,0.87,0.52,0.26,0.45,0.48,0.16,0.22,0.89,0.48
Longmeadow,0.93,0.47,0.23,0.45,0.58,0.38,0.22,0.89,0.52
Lowell,0.81,0.42,0.41,0.4,0.24,0.15,0.13,0.83,0.42
Ludlow,0.96,0.54,0.15,0.41,0.51,0.14,0.12,0.85,0.46
Lunenburg,0.94,0.61,0.36,0.44,0.67,0.16,0.15,0.87,0.52
Lynn,0.63,0.42,0.2,0.4,0.43,0.11,0.14,0.83,0.4
Lynnfield,0.9,0.47,0.17,0.44,0.35,0.24,0.52,0.89,0.5
Malden,0.31,0.41,0.39,0.42,0.45,0.18,0.19,0.88,0.4
Manchester-by-the-Sea,0.6,0.57,0.09,0.4,0.57,0.17,0.46,0.86,0.46
Mansfield,0.8,0.46,0.22,0.43,0.45,0.19,0.26,0.88,0.46
Marblehead,0.77,0.48,0.13,0.44,0.59,0.23,0.41,0.88,0.49
Marion,0.88,0.57,0.13,0.46,0.46,0.0,0.33,0.88,0.46
Marlborough,0.92,0.46,0.23,0.41,0.57,0.28,0.24,0.86,0.5
Marshfield,0.91,0.52,0.27,0.43,0.56,0.15,0.23,0.88,0.49
Mashpee,0.94,0.5,0.14,0.43,0.53,0.15,0.16,0.85,0.46
Mattapoisett,0.96,0.73,0.19,0.46,0.42,0.14,0.3,0.88,0.51
Maynard,0.89,0.48,0.37,0.43,0.76,0.08,0.14,0.86,0.5
Medfield,0.75,0.49,0.25,0.44,0.65,0.24,0.48,0.93,0.53
Medford,0.54,0.45,0.13,0.43,0.57,0.22,0.22,0.89,0.43
Medway,0.89,0.47,0.27,0.45,0.62,0.11,0.24,0.89,0.49
Melrose,0.55,0.47,0.19,0.46,0.67,0.29,0.25,0.89,0.47
Mendon,0.86,0.72,0.2,0.44,0.55,0.05,0.28,0.85,0.49
Merrimac,0.88,0.54,0.2,0.59,0.35,0.09,0.25,0.89,0.47
Methuen,0.94,0.45,0.22,0.41,0.41,0.25,0.16,0.85,0.46
Middleborough,0.93,0.69,0.27,0.42,0.51,0.12,0.19,0.86,0.5
Middlefield,0.98,0.97,0.13,0.51,0.75,0.0,0.13,0.91,0.55
Middleton,0.91,0.54,0.12,0.45,0.51,0.19,0.26,0.89,0.48
Milford,0.91,0.46,0.25,0.42,0.51,0.28,0.15,0.88,0.48
Millbury,0.97,0.52,0.2,0.43,0.44,0.07,0.16,0.88,0.46
Millis,0.92,0.54,0.19,0.45,0.62,0.11,0.19,0.92,0.49
Millville,0.95,0.59,0.13,0.46,0.6,0.0,0.12,0.88,0.47
Milton,0.71,0.43,0.35,0.45,0.65,0.13,0.26,0.89,0.48
Monroe,0.98,0.97,0.12,0.36,0.47,0.0,0.06,0.9,0.48
Monson,0.98,0.81,0.28,0.44,0.41,0.03,0.12,0.82,0.49
Montague,0.87,0.95,0.18,0.49,0.3,0.14,0.11,0.86,0.49
Monterey,0.78,0.96,0.07,0.7,0.77,0.0,0.2,0.86,0.54
Montgomery,0.95,0.96,0.13,0.64,0.49,0.0,0.22,0.9,0.54
Mount Washington,0.74,0.97,0.01,1.0,1.0,0.0,0.12,0.9,0.59
Nahant,0.8,0.5,0.12,0.49,0.78,0.0,0.48,0.86,0.5
Nantucket,0.76,0.93,0.11,0.44,0.66,0.17,0.65,0.83,0.57
Natick,0.8,0.46,0.36,0.44,0.65,0.26,0.22,0.89,0.51
Needham,0.74,0.46,0.15,0.44,0.61,0.32,0.32,0.88,0.49
New Ashford,0.95,0.96,0.14,0.31,0.59,0.0,0.12,0.83,0.49
New Bedford,0.84,0.44,0.39,0.41,0.18,0.16,0.11,0.78,0.41
New Braintree,0.95,0.94,0.14,0.15,0.46,0.0,0.2,0.83,0.46
New Marlborough,0.87,0.97,0.1,0.58,0.65,0.0,0.13,0.93,0.53
New Salem,0.94,0.95,0.13,0.6,0.33,0.0,0.06,0.96,0.5
Newbury,0.83,0.69,0.17,0.34,0.76,0.05,0.26,0.86,0.49
Newburyport,0.81,0.48,0.23,0.44,0.45,0.31,0.18,0.87,0.47
Newton,0.67,0.45,0.29,0.44,0.67,0.31,0.46,0.89,0.52
Norfolk,0.75,0.48,0.22,0.45,0.77,0.18,0.27,0.89,0.5
North Adams,0.77,0.94,0.28,0.42,0.09,0.21,0.08,0.81,0.45
North Andover,0.89,0.48,0.2,0.43,0.62,0.31,0.28,0.86,0.51
North Attleborough,0.88,0.46,0.27,0.43,0.51,0.19,0.24,0.89,0.48
North Brookfield,0.92,0.94,0.41,0.45,0.55,0.0,0.13,0.82,0.53
North Reading,0.89,0.48,0.32,0.44,0.69,0.12,0.24,0.87,0.51
Northampton,0.74,0.5,0.21,0.44,0.48,0.33,0.15,0.84,0.46
Northborough,0.89,0.5,0.18,0.43,0.61,0.26,0.24,0.87,0.5
Northbridge,0.95,0.49,0.15,0.43,0.54,0.13,0.14,0.87,0.46
Northfield,0.99,0.95,0.12,0.64,0.35,0.0,0.12,0.83,0.5
Norton,0.84,0.53,0.24,0.42,0.58,0.08,0.11,0.9,0.46
Norwell,0.79,0.52,0.17,0.44,0.52,0.33,0.36,0.89,0.5
Norwood,0.79,0.46,0.64,0.42,0.57,0.32,0.2,0.86,0.53
Oak Bluffs,0.93,0.93,0.14,0.46,0.91,0.0,0.2,0.8,0.55
Oakham,0.94,0.95,0.18,0.37,0.57,0.0,0.11,0.89,0.5
Orange,0.91,0.95,0.14,0.45,0.08,0.11,0.06,0.86,0.44
Orleans,0.88,0.58,0.17,0.48,0.68,0.4,0.31,0.87,0.55
Otis,0.94,0.97,0.17,0.28,0.4,0.2,0.13,0.78,0.48
Oxford,0.98,0.58,0.2,0.42,0.59,0.09,0.11,0.87,0.48
Palmer,0.92,0.57,0.25,0.43,0.32,0.12,0.11,0.81,0.44
Paxton,0.9,0.73,0.32,0.69,0.8,0.12,0.15,0.88,0.57
Peabody,0.89,0.48,0.17,0.42,0.52,0.3,0.28,0.87,0.49
Pelham,0.93,0.86,0.16,0.58,0.44,0.0,0.17,0.9,0.5
Pembroke,0.9,0.49,0.24,0.43,0.61,0.07,0.16,0.88,0.47
Pepperell,0.94,0.67,0.17,0.42,0.5,0.07,0.19,0.87,0.48
Peru,1.0,0.95,0.17,0.43,0.5,0.0,0.08,0.99,0.52
Petersham,0.92,0.96,0.16,0.58,0.46,0.0,0.13,0.81,0.5
Phillipston,0.92,0.95,0.2,0.54,0.14,0.0,0.1,0.89,0.47
