index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Dighton,0.96,0.87,0.81,0.73,0.54,0.95,0.74,0.8,0.8
Douglas,0.93,0.87,0.82,0.73,0.68,0.97,0.71,0.78,0.81
Dover,0.84,0.83,1.0,0.98,0.9,0.93,0.9,0.85,0.9
Dracut,0.9,0.82,0.76,0.63,0.66,0.94,0.51,0.74,0.74
Dudley,0.9,0.88,0.73,0.66,0.56,0.97,0.62,0.74,0.76
Dunstable,0.93,0.9,0.89,0.83,0.83,0.99,0.86,0.79,0.88
Duxbury,0.88,0.89,0.86,0.93,0.79,0.91,0.76,0.8,0.85
East Bridgewater,0.92,0.87,0.76,0.69,0.63,0.86,0.58,0.71,0.75
East Brookfield,0.97,0.91,0.82,0.64,0.63,0.97,0.63,0.71,0.78
East Longmeadow,0.92,0.84,0.78,0.78,0.73,0.83,0.67,0.64,0.77
Eastham,0.83,0.9,0.79,0.76,0.47,0.86,0.69,0.72,0.75
Easthampton,0.86,0.85,0.67,0.6,0.68,0.92,0.54,0.71,0.73
Easton,0.87,0.85,0.84,0.8,0.73,0.81,0.58,0.77,0.78
Edgartown,0.58,0.86,0.84,0.64,0.56,0.91,0.79,0.62,0.72
Egremont,0.93,0.92,0.84,0.59,0.66,0.94,0.79,0.82,0.81
Erving,0.93,0.9,0.69,0.64,0.52,0.99,0.64,0.63,0.74
Essex,0.82,0.91,0.8,0.72,0.78,0.98,0.68,0.72,0.8
Everett,0.66,0.38,0.5,0.28,0.47,0.89,0.26,0.65,0.51
Fairhaven,0.91,0.85,0.67,0.61,0.59,0.79,0.61,0.5,0.69
Fall River,0.85,0.7,0.29,0.13,0.39,0.69,0.41,0.4,0.48
Falmouth,0.84,0.86,0.72,0.66,0.58,0.72,0.68,0.51,0.7
Fitchburg,0.8,0.67,0.44,0.29,0.42,0.88,0.28,0.5,0.54
Florida,0.94,0.92,0.57,0.51,0.37,0.97,0.76,0.71,0.72
Foxborough,0.91,0.85,0.82,0.79,0.68,0.81,0.64,0.64,0.77
Framingham,0.82,0.59,0.64,0.49,0.66,0.79,0.46,0.69,0.64
Franklin,0.86,0.84,0.83,0.84,0.74,0.89,0.73,0.87,0.82
Freetown,0.94,0.88,0.77,0.69,0.62,0.94,0.64,0.68,0.77
Gardner,0.87,0.81,0.45,0.4,0.43,0.72,0.44,0.47,0.57
Georgetown,0.93,0.88,0.86,0.85,0.72,0.92,0.67,0.8,0.83
Gill,0.82,0.9,0.83,0.63,0.56,0.77,0.71,0.68,0.74
Gloucester,0.82,0.88,0.7,0.58,0.56,0.89,0.56,0.69,0.71
Goshen,0.91,0.91,0.87,0.61,0.65,0.99,0.68,0.84,0.81
Gosnold,0.38,1.0,0.62,0.84,0.62,0.97,0.93,0.66,0.75
Grafton,0.9,0.79,0.81,0.77,0.75,0.96,0.71,0.81,0.81
Granby,0.96,0.87,0.81,0.72,0.65,1.0,0.76,0.79,0.82
Granville,0.94,0.91,0.78,0.69,0.49,0.98,0.69,0.72,0.77
Great Barrington,0.63,0.75,0.75,0.5,0.48,0.55,0.5,0.69,0.61
Greenfield,0.86,0.81,0.5,0.51,0.52,0.59,0.52,0.51,0.6
Groton,0.88,0.89,0.89,0.84,0.84,0.85,0.79,0.84,0.85
Groveland,0.92,0.91,0.88,0.74,0.6,0.97,0.71,0.86,0.82
Hadley,0.9,0.86,0.75,0.82,0.8,0.74,0.73,0.51,0.76
Halifax,0.93,0.92,0.83,0.72,0.57,0.98,0.61,0.74,0.79
Hamilton,0.84,0.84,0.79,0.79,0.83,0.86,0.65,0.83,0.8
Hampden,0.89,0.91,0.87,0.75,0.67,0.95,0.72,0.78,0.82
Hancock,0.92,0.9,0.85,0.68,0.57,0.99,0.88,0.85,0.83
