index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Westwood,0.81,0.82,0.93,0.92,0.87,0.78,0.83,0.76,0.84
Weymouth,0.85,0.79,0.73,0.63,0.63,0.62,0.54,0.71,0.69
Whately,0.89,0.9,0.75,0.71,0.65,0.84,0.8,0.72,0.78
Whitman,0.93,0.84,0.74,0.74,0.58,0.95,0.53,0.74,0.76
Wilbraham,0.92,0.86,0.81,0.79,0.69,0.87,0.76,0.71,0.8
Williamsburg,0.88,0.92,0.68,0.71,0.69,0.92,0.63,0.78,0.78
Williamstown,0.54,0.79,0.69,0.62,0.79,0.76,0.64,0.71,0.69
Wilmington,0.91,0.83,0.82,0.77,0.69,0.85,0.68,0.76,0.79
Winchendon,0.87,0.86,0.61,0.49,0.47,0.94,0.57,0.46,0.66
Winchester,0.79,0.76,0.91,0.93,0.91,0.61,0.71,0.86,0.81
Windsor,0.95,0.93,0.79,0.63,0.53,0.99,0.85,0.91,0.82
Winthrop,0.71,0.75,0.71,0.59,0.67,0.96,0.48,0.73,0.7
Woburn,0.87,0.77,0.77,0.68,0.62,0.8,0.52,0.73,0.72
Worcester,0.77,0.54,0.29,0.37,0.5,0.51,0.39,0.44,0.48
Worthington,0.91,0.92,0.8,0.56,0.74,0.74,0.7,0.79,0.77
Wrentham,0.87,0.88,0.84,0.89,0.73,0.86,0.74,0.73,0.82
Yarmouth,0.88,0.88,0.76,0.55,0.5,0.87,0.61,0.56,0.7
