Holyoke,0.0
New Bedford,0.04
Springfield,0.04
Lawrence,0.05
Lynn,0.05
Lowell,0.06
Taunton,0.08
Millbury,0.09
Brockton,0.1
West Springfield,0.1
Whitman,0.1
Worcester,0.1
Acushnet,0.11
Chelsea,0.11
Dracut,0.11
Everett,0.11
Fall River,0.11
Fitchburg,0.11
Methuen,0.11
Pittsfield,0.11
Randolph,0.11
Revere,0.11
Salem,0.11
Webster,0.11
Agawam,0.12
Berkley,0.12
Chicopee,0.12
North Adams,0.12
Palmer,0.12
Southbridge,0.12
Winchendon,0.12
Ayer,0.13
Marlborough,0.13
Winthrop,0.13
Woburn,0.13
Amesbury,0.14
Clinton,0.14
Fairhaven,0.14
Haverhill,0.14
Holbrook,0.14
Malden,0.14
Oxford,0.14
Ware,0.14
Weymouth,0.14
Attleboro,0.15
Boston,0.15
Bridgewater,0.15
Brimfield,0.15
Framingham,0.15
Middleborough,0.15
Milford,0.15
Norton,0.15
Shirley,0.15
Warren,0.15
West Bridgewater,0.15
Adams,0.16
Billerica,0.16
Dedham,0.16
Freetown,0.16
Gardner,0.16
Grafton,0.16
Greenfield,0.16
Groveland,0.16
Hopedale,0.16
Medford,0.16
Monson,0.16
Montague,0.16
Northbridge,0.16
Quincy,0.16
Raynham,0.16
South Hadley,0.16
Waltham,0.16
Auburn,0.17
Avon,0.17
Bellingham,0.17
Beverly,0.17
Canton,0.17
Carver,0.17
Dalton,0.17
Danvers,0.17
Dighton,0.17
Dudley,0.17
Great Barrington,0.17
Halifax,0.17
Hudson,0.17
Hull,0.17
Middleton,0.17
North Attleborough,0.17
Orange,0.17
Rockland,0.17
Rowley,0.17
Templeton,0.17
Walpole,0.17
Wareham,0.17
Abington,0.18
East Brookfield,0.18
Edgartown,0.18
Granby,0.18
Leominster,0.18
Medway,0.18
Mendon,0.18
Northampton,0.18
Peabody,0.18
Plainville,0.18
Provincetown,0.18
Saugus,0.18
Somerville,0.18
Spencer,0.18
Tewksbury,0.18
Tyngsborough,0.18
Wakefield,0.18
Barnstable,0.19
Belchertown,0.19
Chelmsford,0.19
East Longmeadow,0.19
Easthampton,0.19
Foxborough,0.19
Gloucester,0.19
Hanson,0.19
Lancaster,0.19
Mansfield,0.19
Millville,0.19
Natick,0.19
North Reading,0.19
Norwood,0.19
Rutland,0.19
Salisbury,0.19
Stoneham,0.19
Stoughton,0.19
West Brookfield,0.19
Westhampton,0.19
Ashland,0.2
Athol,0.2
Blackstone,0.2
Bourne,0.2
Charlton,0.2
Dartmouth,0.2
Essex,0.2
Franklin,0.2
Hadley,0.2
Hanover,0.2
Harwich,0.2
Ludlow,0.2
Marion,0.2
Norfolk,0.2
Oak Bluffs,0.2
Pepperell,0.2
Plymouth,0.2
Rochester,0.2
Williamstown,0.2
Wilmington,0.2
Barre,0.21
Burlington,0.21
Gill,0.21
Hardwick,0.21
Holliston,0.21
Huntington,0.21
Lenox,0.21
Lunenburg,0.21
Maynard,0.21
Millis,0.21
Nahant,0.21
Northborough,0.21
Southwick,0.21
Swansea,0.21
Townsend,0.21
Uxbridge,0.21
Warwick,0.21
Watertown,0.21
Westborough,0.21
Westminster,0.21
Westport,0.21
Wrentham,0.21
Arlington,0.22
Bedford,0.22
Braintree,0.22
Chester,0.22
Concord,0.22
East Bridgewater,0.22
Easton,0.22
Georgetown,0.22
Hampden,0.22
Holden,0.22
Ipswich,0.22
Kingston,0.22
Lakeville,0.22
Lanesborough,0.22
Leicester,0.22
Lincoln,0.22
Littleton,0.22
Lynnfield,0.22
Marshfield,0.22
Melrose,0.22
Merrimac,0.22
Milton,0.22
North Brookfield,0.22
Pembroke,0.22
Russell,0.22
Sterling,0.22
Sturbridge,0.22
Swampscott,0.22
Wales,0.22
Westfield,0.22
Westwood,0.22
Ashburnham,0.23
Bolton,0.23
Boxborough,0.23
Cheshire,0.23
Egremont,0.23
