Feature,Eigen value (%)
no_vehicle_avail_%,0.9999622275642032
comm_car_%,2.4212867196379835e-05
comm_carpool_%,1.3526270987369748e-05
comm_bus_%,3.193440297039094e-08
comm_walk_%,9.607941250166824e-10
comm_cycle_%,3.039398201623321e-10
comm_taxi_%,7.802090070795901e-11
comm_wfh_%,1.784346917707735e-11
tobbaco_retailers_2019_%,1.483020109603263e-12
liquor_per1000,7.259622338319227e-13
supermarket_per1000,4.027093526698839e-13
food_est_per1000,1.2173014257959456e-36
