\,no_vehicle_avail_%,below_poverty_level_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Other_%,race_Two_%,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_lt0.5_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,owner_homes_%,moved_lastyear_%,house_nokitchen_%,age_lt18_%,house_lt1939_%,house_2000to2014_%,house_income_gt30_USD_%,median_household_income_USD,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,lep_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,liquor_per1000,dentists_per1000,young_females_%,pa_provider_density_per10000,median_age,lt5years_%,snap_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,students_highneeds_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_society_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,less_than_highschool_%,bachelors_degree_%,vacant_rentals_%,employed_female_%
below_poverty_level_%,-0.530913022471234,1.0,-0.10183071115761441,-0.24309566537098706,-0.28664560937608496,0.24220422354935445,0.16432896783736226,0.5025056894054144,0.32531134190450867,-0.388855287869164,-0.20906857849533816,-0.0594715080306697,-0.1556441954619214,-0.5341277314003996,-0.40280078402466823,0.47850340888836346,0.2873418002658361,0.04182054916917805,0.3527976683949179,-0.4134813287905094,-0.05234367381622177,-0.4204801954396705,-0.38364757339722055,-0.3563336269397883,0.1340215301971683,-0.22775477425353235,-0.08644410657414599,-0.13236777854228923,-0.010386086572529173,-0.4011961354590152,-0.22311892167214495,-0.30326392283620457,0.46657235073153575,-0.4070764767806428,-0.37372089123911834,0.13909641071946544,0.7321334331248122,0.44953667212128634,0.20849868197847796,0.18060247091812304,-0.46513387145209073,0.3078456071917418,-0.28421826186714344,0.616169008042371,0.23525413634671577,0.22885130708947393,0.18751382902383554,-0.3771537941222393,-0.11858459724680086,-0.36110367396380105,-0.13868723869288765,-0.2503997446956443,0.18762823590549457,0.3383330134037928,0.5446484560094886,-0.029895304976781036,0.01787830869662689,0.0015630901850749782,0.007144113643146083,0.4418861425294629,0.4482425175825564,0.4231277915141777,0.01045332429581668,0.14215501727227978,-0.13499566411554714,0.09640771067938479,0.47463002892054174,-0.06308781427493028,0.019873260836771718,-0.05660451578503919,-0.01011839526500534,-0.21801884562790994,-0.23270195223114437,0.30974166624649013,-0.1421472908084875,0.7365000462835316,-0.08501165382542959,-0.025933850284142787,0.10225625038532761,-0.17042199371788244,-0.2828885239663187,0.3544417870181838,0.015557239649985679,0.2705360127295224,0.13314210605537072,-0.027374193175373093,-0.0684495772626026,-0.30208831251247237,0.12080751342683306,0.06420380587043015,-0.02044955281971309,-0.03409925928383127,-0.03544912601722552,-0.08773529805226794,-0.14652387290411137,0.17442615386740373,0.18822090943126676,-0.22225636682679045,-0.2578184108682945,-0.001253959392533489,0.03605061703089075,0.05376102561893499,0.590289197447093,0.2539043796413328,0.36671212622055094,0.1629858690705803,-0.6803585522726301,0.42052930016625945,0.22270603640214123,0.04837869251643206
exp_perpupil_USD,0.17550062356501134,-0.10183071115761441,1.0,-0.06598823877785673,0.04200489828935236,0.5254844381682672,0.4158920460168327,0.07338544220174657,-0.05164484694059246,0.06743360206468649,0.23786792276213659,0.15164754479091463,-0.006623661669427326,-0.027676342186357263,0.16306085931412867,0.22128683261611373,0.07330486505755451,0.2791642319335537,-0.05483950542255519,-0.16876788448804464,-0.041191290987640544,-0.003338557590412119,0.11454308294607461,0.08201673453344749,-0.04756620289617128,-0.22739614011806975,0.22183766188873452,0.05656789485491634,-0.26347501501361154,-0.234473798020711,-0.15103297583737185,-0.1336556710373255,0.16677064890911905,-0.11086516145845597,0.06901618886734968,0.13413731443633387,-0.10749105953742834,-0.11387419812226207,-0.2698593740705642,-0.17756722125451002,-0.013534233604290671,0.05221932776203183,-0.07939521491069786,0.08947173964201592,0.01525998290254689,-0.1504907008904865,-0.45472239378011287,-0.08211134431858767,0.17293967896380788,0.3704211314342361,0.43623877265319844,0.15418348166015283,0.3654408372905997,-0.4128075122302522,0.021603089507798483,-0.019683309262147047,-0.019416837127236526,-0.03751826705976966,-0.022462089292533516,0.10682766278316488,-0.12277668586384814,0.006117830210288207,0.021883114253005997,-0.0508251366110076,-0.038170185017439344,0.03582211958933838,-0.04487131668501088,-0.2156253605735636,0.21074380958735595,-0.0011099313632869266,0.07283308928925684,0.07625298874097391,0.11935748232364976,0.17175131879536132,-0.24761974269549283,0.13295635383051096,0.1226409607055169,0.11939866404642159,0.254812321141229,0.0720788646242224,0.09125067110705162,-0.0768892739694389,0.08877236772332354,-0.1737139379907294,-0.2724648301683426,-0.07571038092953195,-0.004993419801783606,0.3704777204808994,0.07778482293944627,-0.15009681775706016,-0.1282892112459145,-0.10124586197815301,0.025302769480404334,0.006471138920027371,0.20470772666300593,0.04317979439554473,0.03340432644714996,-0.06741771996831449,-0.03858494333841856,0.33707799335009864,-0.08324485320527773,0.05677839920804702,-0.03731100358745487,-0.06341143553388177,-0.20921865943376478,-0.13020842225219437,-0.10333078915466629,0.29835311927089003,0.01841563139497442,0.037649756032060694
debt_pervaluation_%,0.1675460694420809,-0.24309566537098706,-0.06598823877785673,1.0,0.10473264686602395,-0.04396807601287635,-0.008844908281705128,-0.1991702916214395,-0.26765360276449846,0.18386554018635573,-0.00900234539145555,0.1368555039306635,-0.055203595804255975,0.34737208929597907,0.007245595239173845,-0.06869785668620397,-0.006003626773830379,-0.1212536111282835,0.005194173801011053,0.09550607564344941,0.05750451960478398,0.1637769654308109,-0.03713224633312989,0.022219150831231722,-0.0233243454261787,0.09821415558165383,-0.12077571947437983,-0.1562424304573955,-0.07741868302382404,0.0579780304562678,-0.03096587167889529,0.10465030364703785,-0.18228374805281936,0.1296439937026346,0.10252261425998102,-0.07874949105466361,-0.2715991992619535,-0.13355564509170414,0.06477016313163145,0.12830827139224799,0.1674634198433835,-0.14119747905536495,0.16011225991290848,-0.047243709320820636,0.023173166884357332,-0.026488132589954923,-0.00711284450124615,0.14149481166289432,0.0441902301901105,0.061360446276535426,0.0013315127174435702,0.12017252032281762,-0.15007521429332688,-0.0941921008267035,-0.3290219854353478,0.008038426901840779,0.008424919853512345,0.041378038933230714,-0.015106559996260538,-0.13710390270320455,-0.08749234717541772,-0.12443118850054408,0.06938222348048671,-0.0859552624633023,0.1635535406702477,0.042793853872169905,-0.06286428361701313,0.10314779192859197,0.05639946544085208,0.021299717282240338,0.0584907411131061,0.007287141690079214,0.2291406701805936,-0.2027047786723987,0.2020308282614871,-0.32382430997249084,0.16162540024385635,0.025783228650129334,0.007727464917405515,0.28680089758320626,0.2707297683179054,-0.19413405598490502,-0.29320668417192897,-0.07207019164293071,0.07412151018279643,0.025559557097874323,0.016874136828940043,0.007905345420566966,-0.10395552526803213,0.021052706717149844,-0.011333243080231436,0.029234075731281388,-0.041519217711439835,0.04170423856233853,0.13257387292512252,-0.05129846480016927,-0.023020268747581483,-0.007904740843396638,0.04527954662400724,-0.11188175013967828,0.012977001201845667,-0.1545373857831114,-0.17208577064992708,-0.0944228843994928,-0.055415614248164095,0.03472918806664233,0.23414833523918474,-0.0337890124001821,-0.09224490835414768,0.04249111600752113
homeless_Shelters_per_1000,0.3481331934680743,-0.28664560937608496,0.04200489828935236,0.10473264686602395,1.0,-0.0026927856085821973,0.029985211737513267,-0.20493716916657084,-0.22198334475397236,0.35299535154848377,0.01276341777040607,0.11872229610801938,-0.011180493491645446,0.27743079293621253,0.13032835169217796,-0.023343352817012768,0.011863272481952767,0.0035306530452589233,-0.09516468289392614,0.1400221943586743,0.012176798597317224,0.15514471909092856,0.05455361320254064,0.09764012496659412,0.03393929971915909,0.050985088757691845,-0.08171256581285875,-0.0745348017045132,-0.09057218627152316,0.009923515949780047,-0.0022910004226454443,0.08963003314683372,-0.17149397463290317,0.1154905579510938,0.13639938315468755,-0.06891952441850531,-0.3353800767127891,-0.25082797090226244,0.05076245313647723,-0.003581237686087299,0.19875001462115277,-0.17176085031401622,0.15405572064087142,-0.09800779830385137,-0.0467367073365033,-0.037722941440746505,-0.19680512367894495,0.08184139927668198,0.20248348742236533,0.1721064438433676,0.1351750577464989,0.12611266774636765,-0.060587225680827646,-0.15795696078025945,-0.29886569055651596,0.040324295141598764,-0.018335446296929004,-0.10357020809903336,0.14795565404392344,-0.10341110409733999,-0.15673858781803557,-0.10699568175326485,0.030224548227566185,0.03354594403234825,0.13358036032925039,-0.08330756312705752,-0.1451836429160993,0.03338706805445988,0.12336230394261577,0.07335082994605127,0.08278242669550212,0.33224109977078414,0.20576071154096334,-0.21194133972887502,0.1197478789634113,-0.2581224468520592,0.26542430053021354,0.05183644827787472,0.060222455327334695,0.2327586410692318,0.3088669139464742,-0.30005799690012236,-0.16044453264797787,-0.07909428708359782,0.009854394714073766,0.02325447573466216,-0.03674028460734005,0.07452151796992047,-0.11750231962303098,-0.013172232323820546,-0.03278279067649529,0.03362898301596288,0.06441439456098086,0.19899600106965654,0.06110066661222929,-0.054660872440718475,-0.06899428271652847,0.051958662015735305,0.055778894069893746,-0.06838091596939253,0.031889970349067036,-0.12401639557659873,-0.12937541076326714,-0.04349932339440522,-0.07442996761641535,-0.045850935100063175,0.21438451672600198,-0.03192954145397041,-0.19862467676479764,-0.06422160051690157
median_owner_home_USD,0.0058888294417440935,0.24220422354935445,0.5254844381682672,-0.04396807601287635,-0.0026927856085821973,1.0,0.774557228002983,0.329075691064028,-0.26445315128215535,-0.04098175602176122,0.3106152874187308,0.329924392534093,0.0006993859819365423,-0.12251898058942785,0.0832968847037739,0.6223599287072601,0.34916696637826733,0.2552516936840497,0.014428761265066745,-0.4442640148335765,-0.2050692433848715,-0.2733761409267148,-0.25521441836086456,-0.263484772029651,0.011180676576935333,-0.4259971429938606,0.047327892036314004,-0.22647937066495244,-0.4459223546145359,-0.540110849444964,-0.43144431922655235,-0.34074000213922084,0.24815862423111162,-0.19984069415951777,-0.016646176507874644,0.14877530857760163,0.11832559526211797,-0.018202232798732593,-0.14949038893538139,0.3228505069707843,-0.1380281416248453,0.12789703722654513,-0.16685627078183485,0.6995155659678247,0.15862823393173164,-0.026899504675039626,-0.4692679244798929,-0.2473441142820841,0.3703539222672524,0.16931871552765018,0.22250414882669955,-0.03205204722759394,0.4035177682733381,-0.44018849409849264,0.07267899573508418,-0.1247259171639321,0.050162763678132855,-0.046154167462406415,-0.0012706281483360771,0.4332909840004692,0.1780879690275579,0.3803590841907703,0.1701744065143134,0.17305010051595995,-0.09260183102862915,0.17132245884299774,0.25301868394327637,0.07168795146332353,0.3690587438805415,-0.07663483682917809,0.1915277125017657,0.004331314179985621,0.020050051714825035,0.023846539948625702,-0.015199948522858178,0.4633168657725869,0.1893501563448109,0.22417213863398364,0.3909317350830889,0.07942837585875602,0.05882407797488618,-0.08160039857168415,-0.17270662144398458,-0.03691132595561216,-0.11629005568130871,-0.12210838367795772,-0.08841015322705296,0.20129992041256703,0.15261676990382164,-0.13928133506281676,-0.20849965411156896,-0.15383218543062926,-0.06380144186405606,-0.036485237535763694,0.2625257732919465,0.15053122047712414,0.1955209305046439,-0.23761264286623987,-0.15894097430088322,-0.041657066450740514,-0.025191356731641447,-0.1434522153516381,0.29470917797828794,0.18406330737969384,0.021617249766726365,-0.037110831523488,-0.36466465840041734,0.7298648089895423,-0.011474193785129299,0.10075741398831319
median_sale_homes_USD,0.049105625279487995,0.16432896783736226,0.4158920460168327,-0.008844908281705128,0.029985211737513267,0.774557228002983,1.0,0.1979783746690789,-0.2207468681389203,-0.027707418013123104,0.23695888906834903,0.2808569270824993,-0.056345735960245426,-0.0981187163137329,0.056442337720194614,0.4625468830989096,0.25857152577056536,0.21552078432902394,0.0280958021592513,-0.33016912960613554,-0.1418844681583925,-0.16290274754316697,-0.23658250820438081,-0.19565824085162198,0.03560316190719531,-0.30611028082746133,0.01460306287770498,-0.2409201439543656,-0.32972428953645155,-0.4316701846022821,-0.34186746181820976,-0.29126695499665667,0.14751650630576624,-0.1699712346317583,-0.01188303533446602,0.12056195481180329,0.03418007910976368,-0.0816835268121012,-0.0847721218164853,0.25108908487746184,-0.06264752568430208,0.06579566636169866,-0.12435864601335381,0.5380237658572978,0.1542084409594105,-0.002222947365983207,-0.41439897136891735,-0.1817897957507044,0.32547108454139956,0.19611466613892758,0.19980740509459882,-0.028709131787694478,0.30766254405891164,-0.3560441705455271,0.03763375158293624,-0.04163864697219548,-0.021824613996261677,-0.06670435685009557,0.0025491234858105723,0.3191276500672727,0.17072653428746024,0.26159544855664435,0.13709716540585273,0.19251198231295882,-0.0804050095487354,0.150568858651217,0.1979730518652613,0.055555838072046955,0.35389534691056884,-0.031725975370615125,0.13088484394126187,0.013567513113227578,0.041647511588787905,-0.020049603694564936,0.007247849598537778,0.34906204285120046,0.1438225847678581,0.14770446893771552,0.24253750952337816,0.0943218880895441,0.06883880656304248,-0.1087739866454982,-0.1881483648664431,-0.03469985695253189,-0.13274280841568464,-0.07482430956370421,-0.06144804550600083,0.1740694075014254,0.14545818132979593,-0.08076766493111937,-0.21495685578963988,-0.15977475078427436,-0.03257032245157492,-0.016224290323269375,0.19058303355296824,0.10648028540639208,0.1628228930046037,-0.169457443865627,-0.08774316274906548,-0.060048375106861604,-0.02068848002246325,-0.15786463413659305,0.22059317700869713,0.15246865712173788,0.018745909350319757,0.010938431633531105,-0.3006004010444646,0.5786031939402646,-0.030056202232497966,0.16325029859495147
unemployment_rate,-0.18367323435001567,0.5025056894054144,0.07338544220174657,-0.1991702916214395,-0.20493716916657084,0.329075691064028,0.1979783746690789,1.0,0.19476149212484717,-0.24784881974934422,-0.058731333041384406,0.026874786263336094,0.1555116664707293,-0.3029178924696541,-0.11962448324371988,0.4482771102134233,0.2403168466235096,0.26397929674431253,0.17682041229688072,-0.34200578646757523,-0.17786608885930638,-0.31513334522570857,-0.12323387349727613,-0.32059240960430624,-0.12286329101176165,-0.26450044339305984,0.01938693669411568,0.08809176117345073,-0.16681541680942572,-0.40221609152818827,-0.2161432279834517,-0.24399233182913713,0.3458481468308585,-0.23599875978095655,-0.19569401983164875,0.13480195030059156,0.3968388423704328,0.23791806612456878,-0.0972026472314092,-0.01928205443113195,-0.2009660599276082,0.19090299713479736,-0.20804266186301168,0.4173587418527543,0.15558360690231876,0.16341623588276757,-0.09272378729887393,-0.2749549850965925,0.04814565602146126,-0.11106656859863706,0.00808554735469659,-0.13212059070852417,0.31771699335308695,0.007373943011552697,0.29780990641369076,-0.012544468795707496,0.005688972169667305,-0.009919137948877532,0.010107684063888733,0.39287613922526116,0.29609200084181586,0.27844060773668744,0.017575717149946317,0.12178357139556995,-0.13402469088187266,0.053989597712731124,0.3090205678173297,-0.1503040049778934,0.09331124716667544,-0.019565988558198924,-0.002756721478194372,-0.10742565151012899,-0.11572805520692542,0.23952720463372162,-0.09249942020708722,0.5275664706452189,-0.034332320926895234,0.11233778054263366,0.18851908014650187,-0.12206305881643742,-0.1444035476752841,0.13639780568568904,0.09272585850832589,0.04552559353866539,0.02851040438026154,-0.013223941174097333,0.0014159156123648335,-0.05568713023150384,0.1820068837514198,-0.05795041648846906,-0.11128687177252061,-0.08388805644186931,-0.01472934489072535,-0.0953495584353784,-0.0034688190767909696,0.16489632267568202,0.1961693156124248,-0.22119986027989819,-0.09381449337700216,0.09647703531514291,0.026007668215893457,0.1529612690412349,0.42173893825343467,0.2265087933499948,0.32084924609114945,0.10214219258489612,-0.5178663196171208,0.4181460124231507,0.09603900965355584,0.0002863812527916159
race_Wh_%,-0.4082471442387124,0.32531134190450867,-0.05164484694059246,-0.26765360276449846,-0.22198334475397236,-0.26445315128215535,-0.2207468681389203,0.19476149212484717,1.0,-0.5578094452600291,-0.24080169479583213,-0.6169482706422627,0.050815412430549024,-0.5014812352939904,-0.41609801886458236,0.0696488707472419,-0.2564246616430475,0.1550977432016385,0.27236897198462007,-0.047182519091330435,0.11155472761963453,-0.08843484101785146,0.057436485612405525,-0.020073205064897123,0.11789579258537933,0.23906898114464697,0.19705971506844056,0.36837924915334813,0.24483481449739736,0.07079248764611003,0.1503144500568795,-0.04722859531670045,0.5604642734307089,-0.4095346372648885,-0.30156973662287484,0.0949084764899458,0.48364607956593836,0.23915454762941799,0.04798062998508767,-0.5650985945194089,-0.15935170299686266,0.16725847663278,-0.2341272083975494,-0.1493096270633345,-0.028920403014784254,0.010785021522994372,0.2585664807026417,-0.24584826655190647,-0.47693762306897797,-0.08905582417056193,-0.09435407899096751,-0.153420720834844,0.24853770010135384,0.1725985250813188,0.6723755636988961,0.11466702682946968,-0.05022771416280679,0.03124528980686745,0.023923985654229134,0.13145063782697675,0.20360241353503689,-0.05769682922425561,-0.18326701071313334,-0.09203381001918887,-0.071998684501402,-0.11721273894750225,0.18739448815805926,-0.4251996169397467,-0.32003420503367885,-0.014943460289523777,-0.21020421255472457,-0.21339855340216868,-0.18452892085945685,0.5745174332628807,-0.47675013426692525,0.3112245914197655,-0.2632048596261255,-0.07330323935886934,-0.07521782014950748,-0.3483418344761072,-0.33806882274530653,0.5535790649403102,0.4375243957789964,0.08793000076125712,-0.11073402237957038,0.009983790198538936,0.0038313100126826146,-0.027877752590902697,0.03198213637472943,0.09717268719606625,0.026193785892748244,0.05531656123348555,0.0048704029236249285,-0.11542011227337523,-0.1573635107568275,0.06464211267873976,0.0537863694840848,0.017623125344874004,-0.07991701744695866,0.2278320315189801,-0.027603120670415898,0.2900952481858938,0.14181823134287522,0.024488749823881804,-0.1350367164177387,-0.11208302808975525,-0.3323039254493943,-0.18551047092414533,0.36344990735348043,-0.16793998861757087
race_Afam_%,0.41336294439730215,-0.388855287869164,0.06743360206468649,0.18386554018635573,0.35299535154848377,-0.04098175602176122,-0.027707418013123104,-0.24784881974934422,-0.5578094452600291,1.0,0.001075502507495625,0.2918220627476472,0.010301711234923608,0.445168686768008,0.29252709388015924,-0.08959912823811403,0.003367296145914433,-0.0447068224853955,-0.1144634537456546,0.2960444921345843,0.029436606687697535,0.21771345711486834,0.1138590724665033,0.18418878924752577,0.06047901230332839,0.1481493516278023,-0.0849026624012635,-0.12507960987645522,-0.11925003557872674,0.017685239019531347,0.07315890774176424,0.1660107199498284,-0.4075109152817914,0.2818903662729673,0.31567022978884346,-0.04924425513534263,-0.4697815859610897,-0.37788501244650724,0.008574025196876996,-0.017244592331493197,0.19536108806010355,-0.20060500907646736,0.15424614812528492,-0.17783266406573137,-0.080007214669581,-0.08872548326985269,-0.2576851258658161,0.21623476029918773,0.37010944284333724,0.19314373121556436,0.12431534432274108,0.1584181378960564,-0.2019979129952336,-0.18289504402892898,-0.5274675964241398,-0.03061469243190237,0.04111294123295422,0.029736237697554457,-0.007190018180785892,-0.2834471817690264,-0.24794050824616834,-0.1519494166229408,0.051058821270630786,0.01743302599134116,0.09844162636225764,-0.07356516096260732,-0.26951464105535866,0.05442189887451655,0.2058969849137144,0.08420340122735495,0.08736273060868548,0.3262417194171334,0.30005734701764,-0.3586691968756538,0.1936564841242615,-0.3608523678872218,0.16646982048331663,0.08901971087304704,-0.01428638662556568,0.28978707069552756,0.31553220234338963,-0.4576362658518617,-0.29120235499407043,-0.16241545703532426,-0.028810287452372976,0.013554901442320013,0.09186378475353255,0.13205784087837696,-0.13271667677568766,-0.01537391392769559,0.009652300212440883,0.017586005765387738,0.08270407579745252,0.12034238191712347,0.08691615550281233,-0.07277086588516384,-0.07876790790758668,0.06528171173755522,0.12846715239791026,-0.030259152120543538,0.03642783669897376,-0.14577496901442427,-0.19657593339027055,-0.07857626680642472,-0.14642618394801737,-0.0908526709880306,0.41335743713419665,-0.11064082833295759,-0.22989051008548236,-0.08295602833898533
race_Alaska_%,0.014440825393135341,-0.20906857849533816,0.23786792276213659,-0.00900234539145555,0.01276341777040607,0.3106152874187308,0.23695888906834903,-0.058731333041384406,-0.24080169479583213,0.001075502507495625,1.0,-0.03581186628870008,0.13585788024016782,0.019514034610755293,0.27447259469776136,-0.06338769119318982,-0.09554993372882717,-0.0516638300890312,-0.13946751721100867,-0.025966336528165403,0.00804280719861406,0.14583911170844877,0.1623044122451906,0.011142712852784665,-0.10902092005668337,-0.11981524399062313,0.24931735914674502,0.0973580226178574,-0.0654144535018437,0.045982673935883796,-0.027520068168020422,-0.015215615627175756,-0.06353681848093398,-0.03936128511750453,-0.019429122550042394,0.019602940221236848,-0.053385061502347834,0.04802866947778745,-0.3367315792273252,0.19216991839496927,-0.03570779246449758,0.10531987705029587,-0.08502237312604674,-0.053739570296284414,-0.07584955026619383,-0.06627175613962653,-0.08127729987962422,0.05584169172596464,0.02732071123171827,0.11224996051747776,0.005573913040905012,0.00872902940473588,0.04374863592393928,-0.1308359696615353,0.009722173089919213,-0.1717729306180387,0.004570204398158684,-0.07074611477034545,-0.09335468101147618,-0.0631134997629536,-0.16294857015858533,0.12206188172713348,0.03237296881875729,-0.02145643436739011,-0.04543444202288101,0.09767952826483013,-0.11134320446116228,0.0492982093760111,0.04438092893818692,-0.11711475206372335,-0.025246150333068547,0.012679319435966223,-0.025528024906101676,-0.03600274789473056,-0.08750334330817872,0.015230240454760298,-0.03575630967754429,0.0016032988819407246,-0.03183004937072319,-0.0536207170545215,-0.04047799913039199,0.017549012685927335,0.08928379078181335,-0.2494275686704827,0.008921417141900997,0.06408652703143759,-0.05210391745428889,0.22904895292035723,0.09369892352753877,-0.10466281017843738,-5.820771174279692e-05,-0.09399990939385802,-0.041475528916033746,-0.0397424823777808,0.07494935541308462,-0.044741856974542006,0.06237658919696332,-0.0860967063789462,0.00673942605280786,0.005710832871142272,-0.1568711578493014,-0.061901263699549416,-0.15106850568289962,-0.011121425793028302,-0.08134962759512358,-0.061253136171324565,0.11464715169003595,-0.02444165227619377,0.012245467759251017,0.013911514235153435
race_Asian_%,0.2883302415885088,-0.0594715080306697,0.15164754479091463,0.1368555039306635,0.11872229610801938,0.329924392534093,0.2808569270824993,0.026874786263336094,-0.6169482706422627,0.2918220627476472,-0.03581186628870008,1.0,0.0100808674393163,0.09741051956449809,0.11343756164144497,0.24513574881912534,0.641072352397738,0.14177656190989743,-0.04104597185046558,-0.16247711264389664,-0.1453968389595156,-0.051326767405597766,-0.23245859722923382,-0.05455068456270504,-0.12061175491021145,-0.23636514940808373,-0.23330009611173078,-0.3985873579764445,-0.3488967031146098,-0.27388950423220515,-0.31206905469442775,-0.1630114404521837,-0.2338138101104517,0.23948889635879986,0.16737265891586686,0.041704412481439225,-0.3290156595882872,-0.3955156482993924,0.10639418431071596,0.17894508371188836,0.0684644427576948,-0.1343733649559363,0.2884404803080488,0.33033126334789314,0.07618813944563084,0.023423256071894282,-0.4068645740678638,0.022813516559527253,0.5255789839168553,0.18313345732399672,0.24080115079891043,0.0010441910799487784,-0.04317296000965357,-0.21452221012613,-0.40269125073922857,-0.06086227856993261,0.06536340626111746,0.012945013222544976,0.004336106381491124,0.21461127699002308,0.06114529487104935,0.19320113230472347,0.19001908811097756,0.1555242621800057,0.09444998680222444,0.07930311170184907,0.04163649113132209,0.20596810369537288,0.4185954137703788,0.044363767782844545,0.27454071020078324,0.14848055810172897,0.1753261333543725,-0.3731235847352003,0.1953367428310281,0.05785148992070571,0.2887513276297555,0.21115116367025066,0.31502189215171217,0.31535804949631835,0.26808278492751586,-0.45289525751198384,-0.4116953836825445,0.11286725358064095,0.03851711824884504,-0.03780835757078754,-0.04951685905576617,-0.09444357120061897,0.09554250765934943,-0.05873620067875136,-0.11914176910593811,-0.06777703979524528,-0.047409722452556764,0.06574133240175689,0.06481136894263807,0.07749925044953752,0.05275924407395071,-0.07648420199704227,-0.03838621190534318,-0.1160475110582492,0.06971538034598668,-0.22159194389681325,0.1451464584691862,0.0807872441343549,0.09688242222937657,0.08300047386811318,-0.020073719169014778,0.47815490135535016,-0.4030282121847772,0.03593063120795279
race_Hawaii_%,0.13707181008539127,-0.1556441954619214,-0.006623661669427326,-0.055203595804255975,-0.011180493491645446,0.0006993859819365423,-0.056345735960245426,0.1555116664707293,0.050815412430549024,0.010301711234923608,0.13585788024016782,0.0100808674393163,1.0,0.05593533012709118,-0.02180752145883694,-0.01371465191923841,-0.05631987772461324,0.19303596230386094,-0.1267030511897918,-0.08393880254286094,-0.012689784572687237,-0.044740646083516945,0.12128846625368585,-0.0021079153788092194,-0.12356329736962311,0.034234915311962044,-0.03798786216977849,0.41723123326510253,-0.0912698586824024,-0.09544858748694336,0.018294649504570815,0.15508807705199315,0.05230752547583303,-0.013070071948355785,0.10332881993649312,0.05615848680303303,-0.013613209327455501,-0.04115646261894164,-0.0037119787382027887,-0.24014795696838387,0.04202185518641693,-0.07864479138922205,-0.11067545172262865,-0.07302056010920108,-0.03797111857770544,-0.10319611045799311,-0.0765942245402654,0.10341317103166899,0.03711702849366374,0.00598862493278338,-0.03249512098436008,-0.07631671417354088,0.16149236033043224,-0.17209486931451157,-0.014023391025822203,0.03603314458144852,-0.11962248935900106,-0.17542333399390656,0.0974846608836439,-0.012306838855085413,0.007562605972782441,-0.056626726091745135,-0.030477395920351067,-0.08851763548332799,-0.0381580467135092,-0.137791423678821,0.021332838648051782,-0.1340833410041319,0.010588257052627672,-0.07078502106582583,-0.02707061652216107,0.014509490711471083,-0.04287064278779967,0.04855979950706272,-0.16443074436627997,0.04225503346559262,-0.02961131465457856,-0.00017042505339705567,-0.013976743938398341,-0.0637952780348809,-0.052688638770494366,0.03142914749011893,0.09771095444296621,-0.08449154218850642,-0.14341233869714587,-0.030256947175862973,0.23743402201966282,0.08577595061180802,0.1014535422874894,0.014328201211777015,-0.09574625213320814,0.16822496021799083,-0.1158514174960112,-0.07557204127039328,-0.08475489992853882,-0.03090535118465289,-0.030652841946062215,-0.11991643759968386,0.1525480527342459,0.08496041686843023,0.03362681112929802,0.17474267006584504,0.02548076611580575,0.03478265409421549,-0.08529225178442683,-0.05481088336720493,0.010125588627561806,-0.0031134706180430865,0.006750066547852062,-0.19047821802005266
