\,unemployment_rate,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,emp_pop_ratio_hisp
unemployment_rate,0.0,5.284298606437242e-06,5.240716331641877e-07,0.0008773398809969447,4.5728602204031705e-11,0.0008164370665815871,1.5653874336571372e-09,0.020923652611265327,7.85178765788724e-10,0.021314793257283523,4.967691667008285e-07,0.717387495389008,0.09941093491081018,0.0017118730146309365,4.42323677765231e-15,4.4387830405016757e-05,3.7464481854208445e-06,0.05590054548004109
emp_computer_%,5.284298606437242e-06,0.0,0.0008780841421094633,0.3484298879625898,2.6196969087783123e-11,5.1494066943056335e-05,1.7366614235592432e-08,4.745523033135712e-15,4.538280044251841e-06,0.03925969001652886,6.089088066323688e-11,2.921975560689168e-06,1.8873482819488884e-20,4.997956632831558e-09,6.338357058949351e-14,2.644831327566803e-17,2.7159631983895774e-09,0.008242387011258694
emp_legal_%,5.240716331641877e-07,0.0008780841421094633,0.0,0.5127457677374258,1.4603917998058604e-06,0.004037016931738986,0.002220300031390377,0.00424493076030965,0.4862366875847026,0.00027504331856059705,4.1677983611088994e-10,0.19177050881484095,0.005038809394479428,7.749741447833296e-10,6.005583681338687e-16,1.3447951592239838e-12,6.970838919501926e-05,0.02349920118375802
emp_healthcare_%,0.0008773398809969447,0.3484298879625898,0.5127457677374258,0.0,0.19270906248986946,0.5258179273646453,5.774624805666292e-06,2.0601312120238695e-06,6.551751983607199e-07,0.40023657464881834,0.43163229153588567,0.6269364511062541,0.5317471319484661,0.2958952473737363,0.030958157106370083,0.4137630278467228,7.16223723687327e-05,0.2939331234717012
emp_healthsupport_%,4.5728602204031705e-11,2.6196969087783123e-11,1.4603917998058604e-06,0.19270906248986946,0.0,0.11359087500844618,9.513180936449632e-07,2.5679298210229394e-06,0.0003045770186205039,0.5636618840819998,0.0001386455133688703,0.46430477616290333,0.0031122588094517653,0.010845365033674885,1.5408072658048872e-20,1.7261356812065006e-11,5.436363707399072e-07,0.6353492340777791
emp_protective_%,0.0008164370665815871,5.1494066943056335e-05,0.004037016931738986,0.5258179273646453,0.11359087500844618,0.0,8.25853786591392e-06,0.050634390645745486,0.015517984724921313,0.09636590658665148,0.007787749139437087,0.05096859316024131,0.7513944752732095,0.013496302101486671,0.07950938174112822,0.005648031204266425,0.6097739436667402,0.6557192109334209
emp_foodprepare_%,1.5653874336571372e-09,1.7366614235592432e-08,0.002220300031390377,5.774624805666292e-06,9.513180936449632e-07,8.25853786591392e-06,0.0,2.640273949282672e-10,1.229183063518979e-07,0.2547779292945163,6.617813676156566e-08,0.9890959696439386,0.15937976168769452,0.3732673117721992,6.326284121450817e-06,0.0005142398312699254,8.665071131210246e-05,0.437053147356815
emp_clean_%,0.020923652611265327,4.745523033135712e-15,0.00424493076030965,2.0601312120238695e-06,2.5679298210229394e-06,0.050634390645745486,2.640273949282672e-10,0.0,2.5546202337323873e-05,0.08332068463307946,0.10993583648635445,5.698220655710435e-08,1.3731703174272877e-14,0.0012188384541793197,1.3219882632437348e-08,1.3223577116807622e-10,1.00238431984489e-05,0.20421595738690348
emp_personalcare_%,7.85178765788724e-10,4.538280044251841e-06,0.4862366875847026,6.551751983607199e-07,0.0003045770186205039,0.015517984724921313,1.229183063518979e-07,2.5546202337323873e-05,0.0,0.5664074776678139,5.1400907174849905e-05,0.13712569395794277,0.34508646146077737,0.03359590033306858,0.0023154158280902534,0.0008301863267635869,0.01436977884288463,0.6065693743942591
emp_sales_%,0.021314793257283523,0.03925969001652886,0.00027504331856059705,0.40023657464881834,0.5636618840819998,0.09636590658665148,0.2547779292945163,0.08332068463307946,0.5664074776678139,0.0,0.02783182908939421,0.38521454948096256,0.002588358256261389,0.23960743285686248,0.05113532829929082,0.13051158111303224,0.7719370193328265,0.3983763856354331
emp_admin_%,4.967691667008285e-07,6.089088066323688e-11,4.1677983611088994e-10,0.43163229153588567,0.0001386455133688703,0.007787749139437087,6.617813676156566e-08,0.10993583648635445,5.1400907174849905e-05,0.02783182908939421,0.0,0.12138983509984333,0.018635784941522765,5.698160259792539e-06,2.1085796748108134e-08,6.752552279652511e-10,7.531842527545581e-05,0.5088119674881163
emp_farm_%,0.717387495389008,2.921975560689168e-06,0.19177050881484095,0.6269364511062541,0.46430477616290333,0.05096859316024131,0.9890959696439386,5.698220655710435e-08,0.13712569395794277,0.38521454948096256,0.12138983509984333,0.0,1.4493647946077428e-06,0.012324511487195029,0.004450281747034635,0.03540615190542765,0.6780748624316765,0.000436832213770317
emp_construct_%,0.09941093491081018,1.8873482819488884e-20,0.005038809394479428,0.5317471319484661,0.0031122588094517653,0.7513944752732095,0.15937976168769452,1.3731703174272877e-14,0.34508646146077737,0.002588358256261389,0.018635784941522765,1.4493647946077428e-06,0.0,0.0008580931887430442,0.0004032227763029384,3.174494854799822e-11,5.526220545869638e-06,0.0057843443274000735
emp_repair_%,0.0017118730146309365,4.997956632831558e-09,7.749741447833296e-10,0.2958952473737363,0.010845365033674885,0.013496302101486671,0.3732673117721992,0.0012188384541793197,0.03359590033306858,0.23960743285686248,5.698160259792539e-06,0.012324511487195029,0.0008580931887430442,0.0,1.7186364964627267e-14,1.1709109186684296e-06,0.0007581289970375564,0.019173791308279047
emp_production_%,4.42323677765231e-15,6.338357058949351e-14,6.005583681338687e-16,0.030958157106370083,1.5408072658048872e-20,0.07950938174112822,6.326284121450817e-06,1.3219882632437348e-08,0.0023154158280902534,0.05113532829929082,2.1085796748108134e-08,0.004450281747034635,0.0004032227763029384,1.7186364964627267e-14,0.0,2.5187456368346203e-11,1.9670996432098056e-19,0.15628026214930876
emp_transport_%,4.4387830405016757e-05,2.644831327566803e-17,1.3447951592239838e-12,0.4137630278467228,1.7261356812065006e-11,0.005648031204266425,0.0005142398312699254,1.3223577116807622e-10,0.0008301863267635869,0.13051158111303224,6.752552279652511e-10,0.03540615190542765,3.174494854799822e-11,1.1709109186684296e-06,2.5187456368346203e-11,0.0,6.241633782830419e-06,0.48828386927945755
