index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Dighton,0.99,0.59,0.12,0.65,0.41,0.78,0.33,0.82,0.59
Douglas,0.94,0.6,0.08,0.65,0.48,0.91,0.29,0.88,0.6
Dover,0.87,0.52,0.3,0.5,0.98,0.85,0.29,0.89,0.65
Dracut,0.92,0.58,0.25,0.71,0.43,0.8,0.69,0.89,0.66
Dudley,0.93,0.65,0.5,0.66,0.38,0.78,0.46,0.87,0.65
Dunstable,0.96,0.64,0.24,0.61,0.74,0.92,0.2,0.87,0.65
Duxbury,0.92,0.63,0.37,0.62,0.78,0.89,0.47,0.89,0.7
East Bridgewater,0.95,0.62,0.23,0.68,0.42,0.69,0.67,0.88,0.64
East Brookfield,0.97,0.7,0.26,0.55,0.39,0.88,0.37,0.84,0.62
East Longmeadow,0.93,0.58,0.35,0.6,0.62,0.72,0.43,0.87,0.64
Eastham,0.85,0.75,0.46,0.29,0.32,0.51,0.6,0.86,0.58
Easthampton,0.88,0.65,0.4,0.7,0.48,0.77,0.53,0.87,0.66
Easton,0.9,0.58,0.35,0.62,0.62,0.72,0.65,0.88,0.66
Edgartown,0.59,0.67,0.9,0.49,0.43,0.64,0.33,0.87,0.62
Egremont,0.96,0.76,0.66,0.37,0.5,0.86,0.49,0.91,0.69
Erving,0.93,0.64,0.03,0.57,0.24,0.93,0.36,0.0,0.46
Essex,0.84,0.69,0.51,0.41,0.77,0.85,0.56,0.92,0.69
Everett,0.66,0.34,0.45,0.78,0.15,0.61,0.8,0.85,0.58
Fairhaven,0.93,0.66,0.31,0.66,0.41,0.55,0.63,0.87,0.63
Fall River,0.85,0.55,0.55,0.77,0.15,0.38,0.7,0.82,0.6
Falmouth,0.86,0.67,0.52,0.57,0.4,0.53,0.54,0.79,0.61
Fitchburg,0.79,0.52,0.47,0.81,0.24,0.58,0.88,0.82,0.64
Florida,0.94,0.69,0.16,0.45,0.19,0.68,0.35,0.81,0.53
Foxborough,0.95,0.59,0.27,0.57,0.54,0.7,0.4,0.84,0.61
Framingham,0.82,0.46,0.56,0.65,0.46,0.51,0.69,0.86,0.63
Franklin,0.9,0.56,0.39,0.61,0.68,0.63,0.37,0.89,0.63
Freetown,0.97,0.64,0.19,0.63,0.39,0.77,0.53,0.86,0.62
Gardner,0.87,0.6,0.49,0.73,0.18,0.67,0.64,0.84,0.63
Georgetown,0.96,0.63,0.21,0.59,0.63,0.78,0.42,0.87,0.64
Gill,0.82,0.69,0.17,0.31,0.48,0.83,0.48,0.81,0.57
Gloucester,0.84,0.69,0.6,0.58,0.39,0.67,0.65,0.86,0.66
Goshen,0.92,0.69,0.15,0.56,0.49,0.95,0.4,0.9,0.63
Gosnold,0.46,0.92,0.81,0.25,0.72,1.0,0.25,0.8,0.65
Grafton,0.93,0.48,0.36,0.65,0.63,0.83,0.35,0.88,0.64
Granby,0.99,0.64,0.36,0.65,0.56,0.9,0.27,0.89,0.66
Granville,0.97,0.69,0.09,0.48,0.32,0.93,0.33,0.9,0.59
Great Barrington,0.62,0.62,0.48,0.5,0.21,0.0,0.74,0.86,0.5
Greenfield,0.87,0.61,0.53,0.68,0.28,0.34,0.69,0.82,0.6
Groton,0.91,0.63,0.3,0.51,0.8,0.61,0.31,0.89,0.62
Groveland,0.94,0.67,0.39,1.0,0.48,0.81,0.41,0.76,0.68
