Town,Health Score
Savoy,0.96
Springfield,0.96
Wales,0.96
Athol,0.97
Wendell,0.97
Cheshire,0.98
Florida,0.98
Monroe,0.98
New Salem,0.98
Orange,0.98
Hawley,0.99
Templeton,1.0
