index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Dighton,0.2,0.74,0.21,0.49,0.81,0.11,0.2,0.77,0.44
Douglas,0.19,0.75,0.14,0.44,0.92,0.01,0.14,0.52,0.39
Dover,0.21,0.6,1.0,0.79,0.63,0.08,0.7,0.61,0.58
Dracut,0.19,0.49,0.24,0.47,0.73,0.21,0.18,0.55,0.38
Dudley,0.18,0.56,0.14,0.54,0.58,0.13,0.12,0.46,0.34
Dunstable,0.21,0.87,0.04,0.66,0.88,0.04,0.33,0.6,0.45
Duxbury,0.2,0.51,0.25,0.63,0.5,0.03,0.35,0.59,0.38
East Bridgewater,0.11,0.5,0.2,0.35,0.75,0.37,0.13,0.54,0.37
East Brookfield,0.25,0.94,0.2,0.44,0.94,0.05,0.14,0.49,0.43
East Longmeadow,0.19,0.49,0.26,0.49,0.55,0.03,0.13,0.51,0.33
Eastham,0.22,0.53,0.21,0.64,0.22,0.47,0.2,0.55,0.38
Easthampton,0.21,0.5,0.15,0.5,0.66,0.15,0.11,0.52,0.35
Easton,0.19,0.48,0.19,0.53,0.77,0.14,0.16,0.56,0.38
Edgartown,0.27,0.95,0.05,0.52,0.74,0.18,0.35,0.45,0.44
Egremont,0.18,0.96,0.21,0.32,0.65,0.15,0.16,0.55,0.4
Erving,0.21,0.95,0.2,0.63,0.7,0.01,0.08,0.52,0.41
Essex,0.25,0.69,0.21,0.73,0.62,0.01,0.37,0.69,0.45
Everett,0.19,0.41,0.15,0.21,0.62,0.19,0.13,0.51,0.3
Fairhaven,0.22,0.5,0.32,0.5,0.46,0.14,0.1,0.37,0.33
Fall River,0.19,0.46,0.19,0.22,0.32,0.13,0.13,0.2,0.23
Falmouth,0.2,0.52,0.23,0.53,0.37,0.18,0.2,0.32,0.32
Fitchburg,0.12,0.47,0.17,0.18,0.45,0.19,0.09,0.37,0.26
Florida,0.3,0.95,0.3,0.25,0.42,0.21,0.06,0.54,0.38
Foxborough,0.22,0.48,0.29,0.55,0.7,0.03,0.2,0.43,0.36
Framingham,0.19,0.44,0.15,0.55,0.75,0.17,0.24,0.49,0.37
Franklin,0.19,0.47,0.26,0.55,0.79,0.31,0.21,0.59,0.42
Freetown,0.21,0.67,0.35,0.5,0.77,0.25,0.17,0.51,0.43
Gardner,0.24,0.5,0.17,0.31,0.49,0.1,0.11,0.29,0.28
Georgetown,0.2,0.52,0.13,0.59,0.78,0.15,0.25,0.59,0.4
Gill,0.26,0.95,0.18,0.41,0.87,0.26,0.1,0.57,0.45
Gloucester,0.2,0.55,0.13,0.47,0.51,0.12,0.27,0.45,0.34
Goshen,0.15,0.96,0.05,0.47,0.94,0.01,0.27,0.62,0.43
Gosnold,0.08,1.0,0.24,0.93,0.27,0.19,0.38,0.86,0.49
Grafton,0.19,0.48,0.38,0.59,0.79,0.11,0.24,0.55,0.42
Granby,0.2,0.7,0.13,0.47,0.71,0.01,0.08,0.56,0.36
Granville,0.14,0.95,0.34,0.31,0.68,0.01,0.18,0.44,0.38
Great Barrington,0.22,0.93,0.32,0.36,0.39,0.21,0.12,0.47,0.38
Greenfield,0.2,0.94,0.11,0.49,0.58,0.39,0.09,0.38,0.4
Groton,0.2,0.66,0.37,0.66,0.66,0.2,0.2,0.6,0.44
Groveland,0.2,0.54,0.16,0.45,0.66,0.18,0.22,0.5,0.36
Hadley,0.21,0.7,0.13,0.54,0.52,0.47,0.25,0.45,0.41
Halifax,0.19,0.61,0.16,0.26,0.72,0.05,0.18,0.56,0.34
Hamilton,0.2,0.55,0.29,0.59,0.64,0.2,0.46,0.61,0.44
Hampden,0.2,0.71,0.27,0.5,0.54,0.06,0.0,0.58,0.36
Hancock,0.18,0.95,0.15,0.66,0.75,0.01,0.12,0.81,0.45
Hanover,0.2,0.47,0.14,0.45,0.64,0.42,0.25,0.62,0.4
Hanson,0.2,0.53,0.2,0.41,0.79,0.07,0.23,0.52,0.37
Hardwick,0.14,0.96,0.35,0.35,0.36,0.01,0.15,0.3,0.33
Harvard,0.2,0.84,0.2,0.71,0.44,0.18,0.38,0.58,0.44
Harwich,0.2,0.52,0.26,0.2,0.37,0.2,0.16,0.51,0.3
Hatfield,0.22,0.96,0.25,0.5,0.65,0.08,0.16,0.51,0.42
Haverhill,0.2,0.46,0.2,0.45,0.68,0.17,0.16,0.31,0.33
Hawley,0.18,0.95,0.31,0.1,0.5,0.01,0.05,0.53,0.33
Heath,0.23,0.94,0.09,0.6,0.55,0.01,0.1,0.52,0.38
Hingham,0.2,0.49,0.37,0.67,0.51,0.36,0.3,0.57,0.43
Hinsdale,0.17,0.83,0.05,0.56,0.7,0.01,0.11,0.37,0.35
Holbrook,0.2,0.47,0.2,0.34,0.5,0.12,0.13,0.48,0.3
Holden,0.19,0.55,0.28,0.32,0.76,0.18,0.13,0.59,0.38
Holland,0.22,0.95,0.2,0.34,0.7,0.01,0.1,0.56,0.38
Holliston,0.23,0.49,0.26,0.64,0.76,0.09,0.21,0.6,0.41
Holyoke,0.2,0.44,0.16,0.3,0.4,0.27,0.09,0.04,0.24
Hopedale,0.26,0.48,0.08,0.53,0.71,0.01,0.21,0.54,0.35
Hopkinton,0.19,0.57,0.64,0.72,0.8,0.14,0.35,0.58,0.5
Hubbardston,0.26,0.94,0.19,0.73,0.81,0.01,0.11,0.46,0.44
Hudson,0.2,0.49,0.16,0.52,0.72,0.22,0.22,0.59,0.39
Hull,0.2,0.5,0.21,0.49,0.67,0.12,0.16,0.48,0.35
Huntington,0.28,0.95,0.16,0.45,0.74,0.29,0.14,0.54,0.44
Ipswich,0.2,0.63,0.12,0.54,0.66,0.12,0.21,0.58,0.38
Kingston,0.2,0.51,0.1,0.61,0.73,0.07,0.17,0.54,0.37
Lakeville,0.2,0.71,0.27,0.5,0.8,0.17,0.12,0.58,0.42
Lancaster,0.3,0.63,0.27,0.58,0.56,0.22,0.12,0.55,0.4
Lanesborough,0.21,0.75,0.19,0.53,0.76,0.01,0.1,0.81,0.42
Lawrence,0.2,0.36,0.16,0.18,0.24,0.18,0.11,0.29,0.22
Lee,0.21,0.94,0.22,0.53,0.5,0.12,0.11,0.48,0.39
Leicester,0.2,0.6,0.15,0.45,0.74,0.06,0.13,0.53,0.36
Lenox,0.25,0.9,0.21,0.51,0.28,0.15,0.2,0.5,0.38
Leominster,0.2,0.47,0.16,0.45,0.65,0.23,0.15,0.28,0.32
Leverett,0.2,0.96,0.18,0.32,0.64,0.01,0.19,0.61,0.39
Lexington,0.19,0.45,0.29,0.88,0.53,0.49,0.35,0.79,0.5
Leyden,0.23,0.97,0.36,0.68,0.83,0.01,0.12,0.37,0.45
Lincoln,0.13,0.63,0.15,0.77,0.38,0.09,0.47,0.57,0.4
Littleton,0.2,0.52,0.22,0.62,0.67,0.17,0.22,0.56,0.4
Longmeadow,0.2,0.47,0.19,0.67,0.53,0.4,0.22,0.61,0.41
Lowell,0.2,0.41,0.15,0.36,0.53,0.17,0.13,0.33,0.29
Ludlow,0.2,0.54,0.28,0.5,0.55,0.17,0.12,0.52,0.36
Lunenburg,0.14,0.61,0.27,0.55,0.71,0.17,0.15,0.54,0.39
Lynn,0.2,0.41,0.15,0.25,0.48,0.12,0.14,0.37,0.26
Lynnfield,0.19,0.48,0.26,0.56,0.62,0.26,0.52,0.6,0.44
Malden,0.19,0.41,0.18,0.39,0.6,0.2,0.19,0.49,0.33
Manchester-by-the-Sea,0.22,0.58,0.21,0.79,0.56,0.21,0.46,0.62,0.46
Mansfield,0.2,0.46,0.31,0.63,0.94,0.21,0.26,0.48,0.44
Marblehead,0.2,0.48,0.28,0.6,0.57,0.24,0.41,0.56,0.42
Marion,0.2,0.57,0.06,0.64,0.32,0.01,0.33,0.53,0.33
Marlborough,0.2,0.45,0.15,0.42,0.79,0.29,0.24,0.41,0.37
Marshfield,0.2,0.52,0.3,0.49,0.7,0.16,0.23,0.58,0.4
Mashpee,0.2,0.51,0.17,0.47,0.42,0.16,0.16,0.51,0.32
Mattapoisett,0.2,0.73,0.42,0.36,0.55,0.15,0.3,0.57,0.41
Maynard,0.19,0.48,0.39,0.52,0.88,0.09,0.14,0.53,0.4
Medfield,0.2,0.49,0.22,0.66,0.71,0.24,0.48,0.71,0.46
Medford,0.2,0.45,0.22,0.44,0.73,0.24,0.22,0.53,0.38
Medway,0.2,0.47,0.32,0.58,0.94,0.13,0.24,0.61,0.44
Melrose,0.19,0.48,0.22,0.47,0.81,0.34,0.25,0.58,0.42
Mendon,0.21,0.73,0.25,0.5,0.91,0.06,0.28,0.53,0.43
Merrimac,0.3,0.54,0.1,0.36,0.67,0.1,0.25,0.61,0.37
Methuen,0.19,0.44,0.18,0.4,0.72,0.27,0.16,0.56,0.37
Middleborough,0.2,0.69,0.21,0.44,0.61,0.15,0.19,0.44,0.37
Middlefield,0.27,0.97,0.21,0.6,0.94,0.01,0.13,0.25,0.42
Middleton,0.2,0.54,0.11,0.29,0.55,0.2,0.26,0.57,0.34
Milford,0.2,0.46,0.37,0.41,0.79,0.34,0.15,0.48,0.4
Millbury,0.2,0.52,0.1,0.46,0.72,0.07,0.16,0.52,0.34
Millis,0.2,0.54,0.16,0.46,0.56,0.13,0.19,0.61,0.36
Millville,0.2,0.59,0.32,0.4,0.86,0.01,0.12,0.61,0.39
Milton,0.2,0.44,0.24,0.58,0.66,0.19,0.26,0.62,0.4
Monroe,0.23,0.97,0.13,0.34,0.0,0.01,0.06,0.35,0.26
Monson,0.17,0.82,0.26,0.52,0.68,0.05,0.12,0.48,0.39
Montague,0.19,0.95,0.21,0.41,0.48,0.14,0.11,0.41,0.36
Monterey,0.2,0.96,0.21,0.4,0.49,0.01,0.2,0.4,0.36
Montgomery,0.12,0.96,0.16,0.19,0.74,0.01,0.22,0.62,0.38
Mount Washington,0.3,0.97,0.16,0.68,0.19,0.01,0.12,0.53,0.37
Nahant,0.2,0.5,0.25,0.67,0.73,0.01,0.48,0.54,0.42
Nantucket,0.22,0.92,0.25,0.37,0.96,0.2,0.65,0.46,0.5
Natick,0.2,0.47,0.18,0.6,0.79,0.29,0.22,0.55,0.41
Needham,0.29,0.47,0.2,0.73,0.63,0.33,0.32,0.61,0.45
New Ashford,0.25,0.96,0.36,0.46,0.44,0.01,0.12,0.66,0.41
New Bedford,0.2,0.43,0.16,0.19,0.42,0.18,0.11,0.02,0.21
New Braintree,0.25,0.94,0.22,0.63,0.61,0.01,0.2,0.41,0.41
New Marlborough,0.13,0.96,0.26,0.43,0.39,0.01,0.13,0.37,0.34
New Salem,0.35,0.95,0.22,0.25,0.49,0.01,0.06,0.59,0.36
Newbury,0.19,0.69,0.2,0.78,0.67,0.06,0.26,0.53,0.42
Newburyport,0.19,0.49,0.26,0.59,0.64,0.4,0.18,0.49,0.4
Newton,0.2,0.45,0.24,0.76,0.65,0.38,0.46,0.58,0.46
Norfolk,0.17,0.48,0.42,0.73,0.55,0.18,0.27,0.62,0.43
North Adams,0.2,0.94,0.16,0.27,0.28,0.25,0.08,0.06,0.28
North Andover,0.2,0.49,0.1,0.54,0.7,0.35,0.28,0.59,0.41
North Attleborough,0.2,0.47,0.31,0.54,0.81,0.21,0.24,0.54,0.42
North Brookfield,0.2,0.94,0.29,0.39,0.67,0.01,0.13,0.56,0.4
North Reading,0.2,0.48,0.36,0.55,0.77,0.12,0.24,0.59,0.41
Northampton,0.2,0.5,0.13,0.64,0.63,0.4,0.15,0.33,0.37
Northborough,0.2,0.5,0.24,0.71,0.77,0.27,0.24,0.58,0.44
Northbridge,0.19,0.49,0.23,0.39,0.76,0.14,0.14,0.53,0.36
Northfield,0.11,0.95,0.21,0.2,0.66,0.01,0.12,0.52,0.35
Norton,0.19,0.53,0.26,0.49,0.82,0.09,0.11,0.63,0.39
Norwell,0.19,0.53,0.49,0.59,0.66,0.37,0.36,0.61,0.48
Norwood,0.2,0.47,0.23,0.5,0.72,0.38,0.2,0.52,0.4
Oak Bluffs,0.2,0.93,0.47,0.55,0.71,0.03,0.2,0.34,0.43
Oakham,0.2,0.95,0.05,0.52,0.71,0.01,0.11,0.56,0.39
Orange,0.19,0.95,0.23,0.59,0.3,0.12,0.06,0.41,0.36
Orleans,0.21,0.58,0.1,0.64,0.13,0.43,0.31,0.54,0.37
Otis,0.22,0.97,0.14,0.52,0.55,0.2,0.13,0.4,0.39
Oxford,0.19,0.58,0.3,0.33,0.75,0.09,0.11,0.51,0.36
Palmer,0.11,0.57,0.2,0.43,0.5,0.17,0.11,0.31,0.3
Paxton,0.28,0.73,0.26,0.2,0.63,0.13,0.15,0.61,0.37
Peabody,0.19,0.48,0.2,0.39,0.57,0.36,0.28,0.5,0.37
Pelham,0.24,0.86,0.2,0.63,0.59,0.01,0.17,0.69,0.42
Pembroke,0.2,0.49,0.28,0.54,0.86,0.09,0.16,0.56,0.4
Pepperell,0.19,0.68,0.26,0.55,0.74,0.08,0.19,0.5,0.4
