Feature,Eigen value (%)
no_vehicle_avail_%,0.43734026213778593
below_poverty_level_%,0.3436155710347724
exp_perpupil_USD,0.09065668031268788
debt_pervaluation_%,0.05165472757169015
homeless_Shelters_per_1000,0.027880587862957776
median_owner_home_USD,0.020952134132366372
median_sale_homes_USD,0.017069065354826215
unemployment_rate,0.007564081059304579
race_Wh_%,0.003190731834761606
race_Afam_%,7.247369540599498e-05
race_Alaska_%,3.6850034409836975e-06
race_Asian_%,4.971773562337182e-34
