index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Westport,0.06,0.74,0.21,0.53,0.46,0.15,0.14,0.76,0.38
Westwood,0.05,0.69,0.44,0.64,0.71,0.2,0.49,0.79,0.5
Weymouth,0.06,0.65,0.25,0.42,0.65,0.29,0.15,0.72,0.4
Whately,0.08,0.81,0.21,0.38,0.84,0.04,0.09,0.76,0.4
Whitman,0.06,0.65,0.26,0.42,0.84,0.08,0.17,0.75,0.4
Wilbraham,0.05,0.79,0.13,0.5,0.65,0.23,0.11,0.73,0.4
Williamsburg,0.06,0.8,0.27,0.51,0.78,0.04,0.13,0.72,0.41
Williamstown,0.06,0.74,0.06,0.44,0.33,0.18,0.18,0.74,0.34
Wilmington,0.05,0.67,0.14,0.49,0.8,0.21,0.14,0.78,0.41
Winchendon,0.06,0.72,0.28,0.38,0.72,0.08,0.09,0.43,0.34
Winchester,0.06,0.6,0.35,0.74,0.69,0.54,0.67,0.87,0.56
Windsor,0.06,0.9,0.21,0.5,0.67,0.0,0.08,0.68,0.39
Winthrop,0.06,0.6,0.19,0.42,0.65,0.09,0.09,0.73,0.35
Woburn,0.06,0.63,0.2,0.46,0.75,0.25,0.19,0.74,0.41
Worcester,0.06,0.43,0.18,0.19,0.39,0.37,0.1,0.44,0.27
Worthington,0.04,0.87,0.33,0.55,0.83,1.0,0.05,0.66,0.54
Wrentham,0.06,0.75,0.19,0.65,0.77,0.12,0.19,0.76,0.44
Yarmouth,0.06,0.83,0.19,0.42,0.37,0.2,0.13,0.56,0.34
