Town,Health Score
Royalston,0.22
Erving,0.23
Granville,0.23
New Braintree,0.23
Phillipston,0.24
Chilmark,0.27
New Salem,0.28
Wendell,0.35
Cummington,0.37
Sandisfield,0.38
Monterey,0.63
Rowe,1.0
