Lawrence,0.0
Chelsea,0.01
Boston,0.18
Springfield,0.19
Holyoke,0.25
Lynn,0.28
New Bedford,0.33
Everett,0.34
Worcester,0.34
Brockton,0.35
Fall River,0.36
Lowell,0.37
Southbridge,0.4
Revere,0.41
Malden,0.42
Cambridge,0.43
Fitchburg,0.47
Salem,0.47
Somerville,0.51
Great Barrington,0.53
Provincetown,0.53
Amherst,0.54
Gardner,0.55
North Adams,0.55
Pittsfield,0.55
Quincy,0.56
Randolph,0.56
Framingham,0.57
Greenfield,0.57
Leominster,0.57
West Springfield,0.57
Haverhill,0.58
Webster,0.59
Chicopee,0.6
Northampton,0.61
Waltham,0.61
Montague,0.62
Brookline,0.63
Nantucket,0.63
Burlington,0.64
Marlborough,0.64
Taunton,0.64
Methuen,0.65
Milford,0.65
Shirley,0.65
Medford,0.66
Orange,0.66
Peabody,0.66
Tisbury,0.66
Winthrop,0.66
Aquinnah,0.67
Athol,0.67
Barnstable,0.67
Ware,0.67
Williamstown,0.67
Beverly,0.68
Norwood,0.68
Palmer,0.68
Wareham,0.68
Weymouth,0.69
Attleboro,0.7
Heath,0.7
Watertown,0.7
Winchendon,0.7
Charlemont,0.71
Dartmouth,0.71
Fairhaven,0.71
Gloucester,0.71
Stoughton,0.71
Sunderland,0.71
West Boylston,0.71
Westfield,0.71
Ayer,0.72
Newton,0.72
Spencer,0.72
Avon,0.73
Belmont,0.73
Falmouth,0.73
Woburn,0.73
Buckland,0.74
Clinton,0.74
Colrain,0.74
Stockbridge,0.74
Wellfleet,0.74
Adams,0.75
Braintree,0.75
Dedham,0.75
Lee,0.75
Saugus,0.75
Shelburne,0.75
Yarmouth,0.75
Easthampton,0.76
Holbrook,0.76
Melrose,0.76
Newburyport,0.76
Barre,0.77
Danvers,0.77
Dennis,0.77
Huntington,0.77
Ludlow,0.77
Monroe,0.77
Rockland,0.77
Salisbury,0.77
Warren,0.77
Wendell,0.77
Westborough,0.77
Abington,0.78
Agawam,0.78
Arlington,0.78
Bridgewater,0.78
Concord,0.78
Dracut,0.78
Hardwick,0.78
Oak Bluffs,0.78
Plymouth,0.78
Royalston,0.78
Swampscott,0.78
Wellesley,0.78
Amesbury,0.79
Bourne,0.79
Dudley,0.79
Edgartown,0.79
Florida,0.79
Lancaster,0.79
Middleborough,0.79
Millbury,0.79
Milton,0.79
Northbridge,0.79
Savoy,0.79
South Hadley,0.79
Truro,0.79
Acushnet,0.8
Erving,0.8
Hadley,0.8
Hudson,0.8
Hull,0.8
North Attleborough,0.8
Otis,0.8
Shrewsbury,0.8
Stoneham,0.8
Whitman,0.8
Blandford,0.81
Chatham,0.81
Chester,0.81
Chilmark,0.81
East Bridgewater,0.81
Eastham,0.81
Kingston,0.81
Lenox,0.81
Mashpee,0.81
Monterey,0.81
Mount Washington,0.81
North Brookfield,0.81
Oxford,0.81
Winchester,0.81
Acton,0.82
Becket,0.82
Blackstone,0.82
Clarksburg,0.82
Dalton,0.82
Foxborough,0.82
Gill,0.82
Gosnold,0.82
Middleton,0.82
Orleans,0.82
Raynham,0.82
Somerset,0.82
Uxbridge,0.82
Wales,0.82
West Bridgewater,0.82
West Brookfield,0.82
Bernardston,0.83
Billerica,0.83
Brookfield,0.83
Chesterfield,0.83
Cummington,0.83
Easton,0.83
Hamilton,0.83
Harwich,0.83
Leicester,0.83
Lexington,0.83
Maynard,0.83
Natick,0.83
Rockport,0.83
Rowe,0.83
Russell,0.83
Templeton,0.83
Wakefield,0.83
Williamsburg,0.83
Worthington,0.83
Auburn,0.84
Bedford,0.84
Bellingham,0.84
Canton,0.84
Chelmsford,0.84
Cheshire,0.84
East Longmeadow,0.84
Freetown,0.84
Hinsdale,0.84
Lunenburg,0.84
Nahant,0.84
North Andover,0.84
Norwell,0.84
Petersham,0.84
Phillipston,0.84
Plainville,0.84
Sandisfield,0.84
Southwick,0.84
Swansea,0.84
Tewksbury,0.84
Weston,0.84
Andover,0.85
Belchertown,0.85
Carver,0.85
East Brookfield,0.85
Hawley,0.85
Manchester-by-the-Sea,0.85
Mansfield,0.85
Marblehead,0.85
Marion,0.85
Marshfield,0.85
Needham,0.85
Northfield,0.85
Plainfield,0.85
Sheffield,0.85
Warwick,0.85
Wenham,0.85
West Tisbury,0.85
Whately,0.85
Wilmington,0.85
Ashby,0.86
Charlton,0.86
Deerfield,0.86
Essex,0.86
Grafton,0.86
Halifax,0.86
Hatfield,0.86
Hopedale,0.86
Ipswich,0.86
Lincoln,0.86
Millville,0.86
Monson,0.86
New Ashford,0.86
Pepperell,0.86
Rowley,0.86
Sandwich,0.86
Seekonk,0.86
Sturbridge,0.86
Walpole,0.86
Westport,0.86
Ashfield,0.87
Brewster,0.87
Brimfield,0.87
Harvard,0.87
Hingham,0.87
Holland,0.87
Lanesborough,0.87
New Salem,0.87
Southborough,0.87
Sterling,0.87
Egremont,0.88
Granville,0.88
Hanson,0.88
New Braintree,0.88
New Marlborough,0.88
Northborough,0.88
Norton,0.88
Pembroke,0.88
Peru,0.88
Plympton,0.88
Scituate,0.88
West Stockbridge,0.88
Ashburnham,0.89
Ashland,0.89
Boxborough,0.89
Cohasset,0.89
Dighton,0.89
Douglas,0.89
Franklin,0.89
Hanover,0.89
Lakeville,0.89
Longmeadow,0.89
Medway,0.89
Millis,0.89
Newbury,0.89
Norfolk,0.89
Reading,0.89
Shutesbury,0.89
Tyngsborough,0.89
Wilbraham,0.89
Wrentham,0.89
Georgetown,0.9
Groveland,0.9
Hampden,0.9
Holden,0.9
Littleton,0.9
Mattapoisett,0.9
Merrimac,0.9
Paxton,0.9
Rehoboth,0.9
Rochester,0.9
Sharon,0.9
Southampton,0.9
Townsend,0.9
Tyringham,0.9
Upton,0.9
Alford,0.91
Berlin,0.91
Goshen,0.91
Westwood,0.91
Berkley,0.92
Granby,0.92
Groton,0.92
Leverett,0.92
Lynnfield,0.92
North Reading,0.92
Oakham,0.92
Sutton,0.92
Tolland,0.92
Boylston,0.93
Duxbury,0.93
Montgomery,0.93
Pelham,0.93
Princeton,0.93
Rutland,0.93
West Newbury,0.93
Westford,0.93
Westminster,0.93
Windsor,0.93
Conway,0.94
Holliston,0.94
Hopkinton,0.94
Medfield,0.94
Mendon,0.94
Sherborn,0.94
Sudbury,0.94
Westhampton,0.94
Boxford,0.95
Hancock,0.95
Hubbardston,0.95
Stow,0.95
Topsfield,0.95
Washington,0.95
Wayland,0.95
Carlisle,0.96
Dover,0.96
Leyden,0.96
Middlefield,0.96
Richmond,0.96
Dunstable,0.97
Bolton,1.0
