Bolton,0.0
Dover,0.05
Carlisle,0.06
Leyden,0.06
Richmond,0.06
Dunstable,0.07
Middlefield,0.07
Sherborn,0.07
Boxford,0.08
Washington,0.08
Wayland,0.09
Alford,0.1
Conway,0.1
Montgomery,0.1
Pelham,0.1
Princeton,0.1
Stow,0.1
Sudbury,0.1
Topsfield,0.1
West Newbury,0.1
Hopkinton,0.11
Hubbardston,0.11
Leverett,0.11
Medfield,0.11
Westhampton,0.11
Duxbury,0.12
Gosnold,0.12
Groton,0.12
Tolland,0.12
Tyringham,0.12
Windsor,0.12
Boylston,0.13
Hancock,0.13
Holliston,0.13
Lynnfield,0.13
Mendon,0.13
New Marlborough,0.13
Norfolk,0.13
Westford,0.13
Westminster,0.13
Berlin,0.14
Boxborough,0.14
Egremont,0.14
Harvard,0.14
Mattapoisett,0.14
North Reading,0.14
Oakham,0.14
Rutland,0.14
Sutton,0.14
Westwood,0.14
Chilmark,0.15
Georgetown,0.15
Goshen,0.15
Granby,0.15
Littleton,0.15
New Braintree,0.15
Rochester,0.15
Scituate,0.15
Sharon,0.15
Shutesbury,0.15
Warwick,0.15
West Tisbury,0.15
Wrentham,0.15
Berkley,0.16
Brimfield,0.16
Dighton,0.16
Essex,0.16
Groveland,0.16
Hampden,0.16
Holden,0.16
Longmeadow,0.16
Medway,0.16
Merrimac,0.16
Newbury,0.16
Paxton,0.16
Rehoboth,0.16
Southborough,0.16
Weston,0.16
Brewster,0.17
Charlton,0.17
Cohasset,0.17
Douglas,0.17
Hingham,0.17
Lakeville,0.17
New Salem,0.17
Northborough,0.17
Plympton,0.17
Reading,0.17
Southampton,0.17
Upton,0.17
West Stockbridge,0.17
Whately,0.17
Wilbraham,0.17
Ashfield,0.18
Ashland,0.18
Franklin,0.18
Granville,0.18
Hanover,0.18
Hanson,0.18
Hatfield,0.18
Holland,0.18
Lincoln,0.18
Manchester-by-the-Sea,0.18
Millis,0.18
New Ashford,0.18
Pembroke,0.18
Peru,0.18
Sandisfield,0.18
Townsend,0.18
Tyngsborough,0.18
Ashby,0.19
Blandford,0.19
Chesterfield,0.19
Hopedale,0.19
Ipswich,0.19
