Town,Health Score
Alford,0.9
Medfield,0.9
Gosnold,0.91
Winchester,0.91
Wellesley,0.94
Lexington,0.95
Sudbury,0.95
Wayland,0.96
Sherborn,0.97
Weston,0.99
Carlisle,1.0
Dover,1.0
